id,vehicle_id,inspection_date,result,defects,mileage_km,next_due,station_code
1,2,2019-01-02,favourable,,60141,2021-01-01,ITV-5779
2,2,2021-01-01,favourable,,90212,2023-01-01,ITV-2897
3,2,2023-01-02,favourable,,120283,2025-01-01,ITV-7617
4,2,2025-01-01,favourable,,150353,2026-01-01,ITV-2749
5,3,2023-04-17,unfavourable,Seat belt retractor faulty,57124,2025-04-16,ITV-4015
6,3,2025-04-16,favourable,,85686,2027-04-16,ITV-1484
7,4,2021-10-25,favourable,,8651,2023-10-25,ITV-4661
8,4,2023-10-25,favourable,,12977,2025-10-24,ITV-9927
9,5,2018-08-20,favourable,,14055,2020-08-19,ITV-5025
10,5,2020-08-19,favourable,,21083,2022-08-19,ITV-9228
11,5,2022-08-20,favourable,,28111,2024-08-19,ITV-5576
12,5,2024-08-19,favourable,,35139,2025-08-19,ITV-7006
13,8,2023-11-26,unfavourable,Worn front tyre below 1.6mm,37390,2025-11-25,ITV-1262
14,10,2023-04-18,favourable,,47618,2025-04-17,ITV-9553
15,10,2025-04-17,unfavourable,Rear shock absorber leaking,71428,2027-04-17,ITV-5530
16,11,2024-10-21,favourable,,69867,2026-10-21,ITV-8192
17,12,2022-10-24,favourable,,95206,2024-10-23,ITV-3309
18,12,2024-10-23,unfavourable,Number plate light inoperative,142810,2026-10-23,ITV-7883
19,14,2020-09-25,favourable,,33133,2022-09-25,ITV-3408
20,14,2022-09-25,favourable,,49699,2024-09-24,ITV-5036
21,14,2024-09-25,favourable,,66266,2026-09-25,ITV-3294
22,15,2020-01-07,favourable,,68846,2022-01-06,ITV-2023
23,15,2022-01-06,favourable,,103269,2024-01-06,ITV-1113
24,15,2024-01-07,favourable,,137692,2026-01-06,ITV-9784
25,17,2023-09-05,favourable,,34302,2025-09-04,ITV-9019
26,18,2017-05-03,unfavourable,Suspension bush play,53770,2019-05-03,ITV-1842
27,18,2019-05-03,favourable,,80655,2021-05-02,ITV-4884
28,18,2021-05-03,unfavourable,Corroded exhaust mounting,107540,2023-05-03,ITV-2375
29,18,2023-05-03,unfavourable,Seat belt retractor faulty,134425,2024-05-02,ITV-8637
30,18,2024-05-02,favourable,,147867,2025-05-02,ITV-6553
31,18,2025-05-03,unfavourable,Windscreen chip in swept area,161310,2026-05-03,ITV-8370
32,21,2024-02-02,favourable,,56555,2026-02-01,ITV-3263
33,23,2021-01-08,favourable,,54375,2023-01-08,ITV-8715
34,23,2023-01-08,favourable,,81562,2025-01-07,ITV-7326
35,23,2025-01-08,favourable,,108750,2027-01-08,ITV-6565
36,25,2023-07-09,favourable,,89075,2025-07-08,ITV-9884
37,26,2022-02-06,favourable,,26764,2024-02-06,ITV-4270
38,26,2024-02-06,unfavourable,Excessive steering play,40146,2026-02-05,ITV-8930
39,27,2017-09-27,favourable,,57189,2019-09-27,ITV-4956
40,27,2019-09-27,favourable,,85784,2021-09-26,ITV-4249
41,27,2021-09-27,favourable,,114379,2023-09-27,ITV-0527
42,27,2023-09-27,favourable,,142974,2024-09-26,ITV-4485
43,27,2024-09-26,favourable,,157272,2025-09-26,ITV-9330
44,28,2024-05-21,favourable,,64439,2026-05-21,ITV-6142
45,29,2024-05-24,favourable,,78977,2026-05-24,ITV-9339
46,32,2022-10-01,favourable,,54796,2024-09-30,ITV-3553
47,32,2024-09-30,favourable,,82194,2026-09-30,ITV-9219
48,36,2018-12-12,favourable,,72026,2020-12-11,ITV-8264
49,36,2020-12-11,favourable,,108039,2022-12-11,ITV-5572
50,36,2022-12-12,favourable,,144053,2024-12-11,ITV-3362
51,36,2024-12-11,favourable,,180066,2025-12-11,ITV-7863
52,37,2024-11-06,favourable,,71706,2026-11-06,ITV-4963
53,38,2023-03-27,unfavourable,Excessive steering play,97904,2025-03-26,ITV-6285
54,38,2025-03-26,unfavourable,Suspension bush play,146856,2027-03-26,ITV-7264
55,39,2018-07-08,favourable,,42537,2020-07-07,ITV-7804
56,39,2020-07-07,unfavourable,Excessive brake imbalance,63805,2022-07-07,ITV-5954
57,39,2022-07-08,unfavourable,Excessive steering play,85074,2024-07-07,ITV-7226
58,39,2024-07-07,unfavourable,Corroded exhaust mounting,106343,2025-07-07,ITV-1603
59,41,2022-01-14,favourable,,55688,2024-01-14,ITV-2519
60,41,2024-01-14,favourable,,83532,2026-01-13,ITV-9058
61,43,2016-10-20,favourable,,33519,2018-10-20,ITV-4336
62,43,2018-10-20,unfavourable,Suspension bush play,50279,2020-10-19,ITV-9825
63,43,2020-10-20,unfavourable,Emissions above limit,67039,2022-10-20,ITV-8587
64,43,2022-10-20,favourable,,83799,2023-10-20,ITV-7386
65,43,2023-10-20,favourable,,92179,2024-10-19,ITV-6022
66,43,2024-10-20,favourable,,100559,2025-10-20,ITV-7601
67,45,2020-04-04,favourable,,79003,2022-04-04,ITV-2218
68,45,2022-04-04,favourable,,118505,2024-04-03,ITV-0940
69,45,2024-04-04,favourable,,158007,2026-04-04,ITV-4081
70,48,2020-07-08,favourable,,33905,2022-07-08,ITV-7649
71,48,2022-07-08,unfavourable,Emissions above limit,50858,2024-07-07,ITV-2886
72,48,2024-07-08,unfavourable,Excessive brake imbalance,67811,2026-07-08,ITV-0506
