id,vehicle_id,owner_id,owned_from,owned_until,purchase_price
1,1,304,2021-10-16,2025-03-18,26216.00
2,1,341,2025-03-18,,
3,2,930,2015-01-02,,23664.00
4,3,341,2019-04-17,2022-01-08,
5,3,734,2022-01-08,2022-05-16,14236.50
6,3,977,2022-05-16,,13280.03
7,4,862,2017-10-25,,29580.00
8,5,136,2014-08-20,,56956.00
9,6,274,2022-06-10,,66700.00
10,7,662,2022-01-25,2023-11-27,57188.00
11,7,110,2023-11-27,,35621.41
12,8,377,2019-11-26,2020-08-04,32364.00
13,8,190,2020-08-04,2020-08-09,25527.42
14,8,630,2020-08-09,,
15,9,211,2025-03-13,,55216.00
16,10,241,2019-04-18,2021-09-07,24476.00
17,10,536,2021-09-07,2024-12-21,13378.88
18,10,306,2024-12-21,,6966.69
19,11,912,2020-10-21,,59972.00
20,12,109,2018-10-24,2022-09-01,17284.00
21,12,443,2022-09-01,,6086.89
22,13,665,2021-12-01,2022-10-30,65888.00
23,13,137,2022-10-30,,
24,14,733,2016-09-25,2020-08-13,26216.00
25,14,312,2020-08-13,2025-06-21,11106.17
26,14,605,2025-06-21,,
27,15,383,2016-01-07,,28652.00
28,16,977,2023-06-18,2023-07-28,38164.00
29,16,54,2023-07-28,,35889.84
30,17,968,2019-09-05,2019-12-06,14036.00
31,17,455,2019-12-06,,12762.33
32,18,978,2013-05-03,2015-07-25,51620.00
33,18,392,2015-07-25,2019-07-27,28629.72
34,18,148,2019-07-27,2021-05-27,12930.04
35,18,513,2021-05-27,,8984.70
36,19,523,2022-06-25,2024-11-11,
37,19,621,2024-11-11,,21386.72
38,20,917,2022-04-01,,21112.00
39,21,50,2020-02-02,2024-10-18,41412.00
40,21,122,2024-10-18,,13915.84
41,22,587,2023-04-13,2024-11-19,56840.00
42,22,175,2024-11-19,,
43,23,868,2017-01-08,,17284.00
44,24,241,2022-07-12,2022-12-15,94888.00
45,24,471,2022-12-15,,76262.20
46,25,270,2019-07-09,2022-05-01,30856.00
47,25,139,2022-05-01,,13642.34
48,26,676,2018-02-06,2022-09-18,41528.00
49,26,532,2022-09-18,2024-12-06,15487.73
50,26,89,2024-12-06,,9973.68
51,27,199,2013-09-27,2019-05-28,27144.00
52,27,760,2019-05-28,2021-11-25,7531.49
53,27,935,2021-11-25,2024-12-28,4588.61
54,27,100,2024-12-28,,
55,28,208,2020-05-21,2023-08-20,54636.00
56,28,496,2023-08-20,,23961.99
57,29,436,2020-05-24,2023-11-12,53244.00
58,29,915,2023-11-12,2025-04-17,21352.73
59,29,935,2025-04-17,,
60,30,899,2023-12-03,,
61,31,965,2025-05-10,2025-06-15,59972.00
62,31,549,2025-06-15,,57614.62
63,32,632,2018-10-01,2023-06-06,59972.00
64,32,640,2023-06-06,2024-07-11,
65,32,911,2024-07-11,,16390.02
66,33,809,2022-06-21,,21112.00
67,34,181,2023-10-16,2024-10-23,21112.00
68,34,648,2024-10-23,,15001.42
69,35,1000,2024-06-23,2025-01-13,30856.00
70,35,998,2025-01-13,,23853.68
71,36,55,2014-12-12,,68556.00
72,37,254,2020-11-06,2025-03-18,59972.00
73,37,475,2025-03-18,,
74,38,759,2019-03-27,,
75,39,815,2014-07-08,2015-04-21,27028.00
76,39,547,2015-04-21,2017-01-10,20612.93
77,39,209,2017-01-10,2020-11-17,14638.03
78,39,711,2020-11-17,,6815.21
79,40,860,2024-04-22,,
80,41,993,2018-01-14,2020-03-05,24476.00
81,41,339,2020-03-05,,13734.68
82,42,810,2025-01-03,2025-01-10,53244.00
83,42,709,2025-01-10,,52960.59
84,43,294,2012-10-20,,59160.00
85,44,924,2024-07-02,,
86,45,575,2016-04-04,,
87,46,86,2021-08-31,,18444.00
88,47,616,2025-05-08,,94888.00
89,48,917,2016-07-08,,38860.00
90,49,290,2023-01-01,2023-05-13,
91,49,285,2023-05-13,,12303.50
92,50,165,2020-11-30,2020-12-03,18444.00
93,50,175,2020-12-03,,18359.78
94,51,481,2025-06-29,,
95,52,348,2018-10-14,2021-06-22,41528.00
96,52,476,2021-06-22,2022-07-29,21540.99
97,52,643,2022-07-29,,17314.37
98,53,518,2025-05-12,2025-05-21,55216.00
99,53,340,2025-05-21,,54500.91
100,54,729,2021-08-09,2024-06-01,18444.00
101,54,460,2024-06-01,,9780.02
102,55,856,2020-12-25,2025-02-25,36772.00
103,55,427,2025-02-25,,14841.51
104,56,420,2014-03-01,2019-07-21,51620.00
105,56,415,2019-07-21,2020-09-19,16153.67
106,56,505,2020-09-19,2020-10-15,
107,56,758,2020-10-15,,12636.16
108,57,616,2021-06-30,,
109,58,546,2023-11-07,2024-09-06,18444.00
110,58,629,2024-09-06,,12721.63
