id,oem_code,name,category,unit_price,stock_quantity
1,EN900757,Timing belt kit,Engine,415.83,0
2,TY521715,Summer tyre,Tyres,176.59,35
3,BR205472,Brake caliper,Brakes,170.23,49
4,FL633055,Cabin filter,Filters,6.21,0
5,EN375417,Turbocharger,Engine,265.31,23
6,BR877676,Brake pad set,Brakes,143.85,16
7,SU106270,Coil spring,Suspension,208.15,0
8,BO117421,Door handle,Body,124.56,93
9,EL040727,Headlight bulb,Electrical,204.04,27
10,TR786813,Drive shaft,Transmission,439.57,26
11,BR370779,Brake disc,Brakes,20.97,31
12,FL189380,Cabin filter,Filters,22.24,9
13,EL896608,Battery,Electrical,89.83,116
14,BO143125,Windscreen wiper,Body,239.26,117
15,TR905767,Clutch kit,Transmission,323.05,45
16,TY720632,Winter tyre,Tyres,163.69,111
17,TR288968,Gearbox oil,Transmission,522.29,6
18,BO206880,Windscreen wiper,Body,121.20,69
19,FL744685,Oil filter,Filters,35.41,78
20,TY764812,Winter tyre,Tyres,195.44,79
21,EL015752,Alternator,Electrical,93.83,81
22,EN922230,Turbocharger,Engine,668.61,24
23,EN803737,Spark plug,Engine,404.20,51
24,EN314190,Water pump,Engine,466.02,24
25,TY126461,Winter tyre,Tyres,139.04,108
26,BR671068,Brake fluid,Brakes,63.29,36
27,BO058083,Door handle,Body,276.62,74
28,FL195140,Fuel filter,Filters,16.48,41
29,BO468057,Bumper,Body,19.42,44
30,EN252053,Spark plug,Engine,713.03,102
31,EL192229,Headlight bulb,Electrical,44.65,12
32,BR532014,Brake fluid,Brakes,113.44,90
33,TR766135,Gearbox oil,Transmission,527.63,27
34,BR023975,Brake disc,Brakes,65.22,109
35,BR035916,Brake fluid,Brakes,179.03,18
36,FL960393,Oil filter,Filters,40.16,62
37,TY084260,Winter tyre,Tyres,178.12,12
38,FL925391,Fuel filter,Filters,6.63,73
39,EL587925,Starter motor,Electrical,13.29,107
40,BR250359,Brake fluid,Brakes,50.10,110
41,SU086091,Control arm,Suspension,195.85,110
42,EL521790,Battery,Electrical,331.87,84
43,BO974308,Wing mirror,Body,143.53,65
44,EN072639,Spark plug,Engine,604.72,106
45,SU958556,Coil spring,Suspension,56.32,73
46,FL555254,Oil filter,Filters,8.23,27
47,EN550116,Turbocharger,Engine,405.48,104
48,BO566124,Door handle,Body,151.24,116
49,SU560719,Shock absorber,Suspension,121.47,0
50,BO665207,Bumper,Body,256.61,118
51,TR674965,Drive shaft,Transmission,268.13,36
52,SU454129,Wheel bearing,Suspension,222.01,57
53,EL504767,Headlight bulb,Electrical,66.04,6
54,EL240592,Headlight bulb,Electrical,336.62,0
55,TR562649,Clutch kit,Transmission,545.32,48
56,BR794188,Brake disc,Brakes,163.17,30
57,EL954991,Headlight bulb,Electrical,143.78,101
58,SU079431,Coil spring,Suspension,71.94,65
59,BO108609,Door handle,Body,102.84,3
60,BO141517,Door handle,Body,244.12,70
61,EL468829,Starter motor,Electrical,99.85,66
62,EN733295,Water pump,Engine,246.73,72
63,SU960157,Control arm,Suspension,53.80,102
64,BO467903,Door handle,Body,110.89,84
65,EN835984,Spark plug,Engine,150.87,33
66,FL572968,Fuel filter,Filters,21.37,64
67,FL488648,Fuel filter,Filters,26.57,8
68,SU533935,Control arm,Suspension,183.29,102
69,EN525740,Spark plug,Engine,298.13,7
70,TY954988,All-season tyre,Tyres,175.79,62
71,SU390898,Coil spring,Suspension,71.10,0
