id,vehicle_id,dealership_id,buyer_id,sale_date,sale_type,sale_price,financing,warranty_months
1,2,24,930,2018-07-13,used,9947.91,loan,24
2,3,6,734,2022-01-08,used,14236.50,leasing,12
3,3,6,977,2022-05-16,used,13280.03,loan,12
4,5,23,136,2014-08-20,new,49360.23,loan,36
5,7,2,662,2022-01-25,demo,57188.00,loan,12
6,7,2,110,2023-11-27,used,35621.41,cash,24
7,8,29,377,2019-11-26,new,28374.30,loan,36
8,10,3,241,2020-12-24,used,15383.82,cash,24
9,10,3,306,2024-12-21,used,6966.69,cash,24
10,11,13,912,2020-10-21,new,51425.99,loan,36
11,12,24,109,2018-10-24,new,14846.36,cash,36
12,13,12,665,2021-12-01,new,55022.16,cash,36
13,13,12,137,2022-10-30,used,43193.92,leasing,12
14,14,17,733,2016-09-25,new,22335.58,loan,36
15,14,6,312,2020-08-13,used,11106.17,cash,12
16,14,18,605,2025-06-21,used,4238.37,renting,12
17,15,13,383,2016-01-07,new,24939.59,loan,36
18,17,21,455,2020-10-25,used,10215.49,cash,12
19,18,30,978,2013-05-03,new,42030.25,renting,36
20,18,20,392,2018-08-14,used,15612.76,cash,24
21,18,10,148,2019-07-27,used,12930.04,loan,24
22,18,10,513,2021-05-27,used,8984.70,cash,24
23,19,28,621,2024-11-11,used,21386.72,loan,12
24,20,24,917,2022-04-01,demo,21112.00,loan,24
25,21,5,50,2020-02-02,new,35021.70,cash,36
26,21,5,122,2024-10-18,used,13915.84,loan,12
27,22,20,587,2023-04-13,new,50739.50,cash,36
28,22,30,175,2024-11-19,used,36162.28,loan,12
29,23,24,868,2018-07-13,used,11032.91,cash,12
30,26,14,676,2018-02-06,new,33770.14,leasing,36
31,26,16,532,2022-09-18,used,15487.73,loan,24
32,26,28,89,2024-12-06,used,9973.68,loan,12
33,27,2,199,2020-09-04,used,5850.02,cash,12
34,27,16,935,2021-11-25,used,4588.61,renting,12
35,27,6,100,2024-12-28,used,2484.71,loan,12
36,28,18,208,2021-12-11,used,33505.27,cash,12
37,28,18,496,2023-08-20,used,23961.99,leasing,24
38,29,14,436,2020-05-24,new,44279.73,loan,36
39,29,28,915,2023-11-12,used,21352.73,leasing,12
40,29,14,935,2025-04-17,used,16079.80,loan,12
41,31,28,965,2025-05-10,new,53493.99,leasing,36
42,31,25,549,2025-06-15,used,57614.62,loan,12
43,32,19,632,2018-10-01,new,52361.76,cash,36
44,32,26,640,2023-06-06,used,20379.88,loan,12
45,34,26,181,2023-10-16,new,18882.50,cash,36
46,34,15,648,2024-10-23,used,15001.42,loan,24
47,35,10,1000,2024-06-23,new,27158.60,cash,36
