id,vehicle_id,dealership_id,service_date,mileage_km,service_type,parts_cost,labour_cost,total_cost
1,1,29,2023-03-23,22474,Tyre replacement,317.66,44.16,361.82
2,1,16,2023-12-26,34420,Routine service,82.75,85.44,168.19
3,1,30,2024-05-26,40952,Timing belt replacement,221.38,208.32,429.70
4,1,24,2024-08-19,44604,Routine service,82.38,65.76,148.14
5,2,24,2016-10-24,27209,Oil and filter change,77.22,47.52,124.74
6,2,1,2017-03-05,32643,Routine service,91.11,68.64,159.75
7,2,,2018-06-15,51867,Battery replacement,150.03,22.56,172.59
8,2,23,2018-12-31,60059,Tyre replacement,564.71,48.48,613.19
9,2,,2019-08-13,69321,Brake replacement,150.45,101.28,251.73
10,2,,2022-05-24,111103,Battery replacement,160.12,26.88,187.00
11,2,19,2022-05-24,111559,Oil and filter change,86.13,43.20,129.33
12,2,,2022-08-19,114684,Oil and filter change,48.58,42.72,91.30
13,2,,2022-11-24,118677,Routine service,84.13,63.84,147.97
14,2,13,2023-11-15,133332,Routine service,121.15,65.76,186.91
15,2,,2024-09-03,145393,Brake replacement,178.29,91.20,269.49
16,3,11,2019-07-04,3049,Routine service,126.06,86.40,212.46
17,3,,2023-01-03,53057,Battery replacement,199.35,27.84,227.19
18,3,16,2023-03-18,55951,Routine service,116.63,61.44,178.07
19,3,6,2023-07-03,60134,Oil and filter change,89.38,47.04,136.42
20,4,2,2017-10-28,852,Tyre replacement,461.21,47.52,508.73
21,4,29,2019-01-20,2676,Routine service,128.24,88.80,217.04
22,4,27,2020-06-08,5667,Battery replacement,97.13,23.04,120.17
23,4,8,2021-02-28,7236,Routine service,162.34,68.16,230.50
24,4,,2021-06-19,7893,Routine service,79.24,66.24,145.48
25,4,,2022-04-02,9593,Routine service,135.49,86.40,221.89
26,4,,2023-12-11,13253,Battery replacement,135.75,29.28,165.03
27,4,,2025-05-24,16391,Routine service,170.13,66.24,236.37
28,5,16,2016-06-07,6320,Routine service,156.72,62.88,219.60
29,5,10,2018-04-01,12699,Air conditioning service,117.86,53.28,171.14
30,5,,2018-06-30,13572,Routine service,96.81,89.76,186.57
31,5,26,2018-11-30,15037,Clutch repair,523.26,248.16,771.42
32,5,,2019-07-28,17345,Routine service,125.48,84.48,209.96
33,5,29,2020-02-17,19308,Battery replacement,88.51,28.32,116.83
34,5,16,2020-11-24,22011,Oil and filter change,77.82,41.76,119.58
35,5,,2021-10-11,25100,Brake replacement,203.59,98.40,301.99
36,5,30,2023-03-21,30160,Oil and filter change,64.44,40.32,104.76
37,5,29,2023-03-27,30523,Routine service,132.71,71.04,203.75
38,5,,2024-10-03,35567,Tyre replacement,500.04,59.04,559.08
39,6,22,2024-12-04,42405,Oil and filter change,61.04,41.76,102.80
40,6,9,2025-02-08,45488,Oil and filter change,86.36,37.92,124.28
41,7,2,2022-06-20,4034,Brake replacement,319.88,102.24,422.12
42,7,11,2024-01-19,20004,Timing belt replacement,527.95,254.40,782.35
43,7,19,2024-05-14,23210,Oil and filter change,79.43,47.52,126.95
44,7,8,2024-10-29,27852,Oil and filter change,49.32,44.16,93.48
45,8,9,2021-11-02,18093,Timing belt replacement,552.43,228.48,780.91
46,8,,2024-03-18,40282,Oil and filter change,76.04,39.36,115.40
47,8,19,2024-06-06,42329,Battery replacement,169.77,22.56,192.33
48,8,9,2024-07-06,43097,Oil and filter change,78.29,45.60,123.89
49,8,,2024-07-18,43537,Oil and filter change,77.79,36.00,113.79
50,8,20,2025-03-17,49597,Timing belt replacement,346.39,205.92,552.31
51,10,1,2020-03-06,10527,Tyre replacement,460.23,52.80,513.03
52,10,27,2020-09-15,16818,Brake replacement,265.48,88.80,354.28
53,10,30,2021-07-10,26531,Brake replacement,117.95,112.80,230.75
54,10,20,2022-05-30,37091,Clutch repair,577.20,323.52,900.72
55,10,,2025-02-02,69000,Routine service,69.16,81.60,150.76
56,10,,2025-03-08,70108,Oil and filter change,47.82,46.56,94.38
57,11,1,2021-03-24,7364,Oil and filter change,89.01,35.04,124.05
58,11,11,2021-06-26,11859,Tyre replacement,444.02,56.64,500.66
59,11,27,2022-11-18,36249,Brake replacement,103.17,83.04,186.21
