id,vin,plate,model_id,year,colour,fuel_type,transmission,engine_cc,power_hp,mileage_km,registered_on
1,ZZF8VT859ME355757,9954 HJF,33,2021,Negro,petrol,automatic,2085,143,58141,2021-10-16
2,ZZL4YB577FB367977,8569 TJM,60,2015,Gris,hybrid,automatic,1431,106,157743,2015-01-02
3,ZZB01H4D0KA868517,9686 NTJ,3,2019,Plata,diesel,manual,1893,149,88599,2019-04-17
4,ZZCX1S7R6HE130642,1926 WPX,69,2017,Rojo,petrol,automatic,1730,133,16611,2017-10-25
5,ZZD90NU85EY431921,8740 DHB,47,2014,Negro,diesel,automatic,1839,268,38165,2014-08-20
6,ZZB3UDNR1NL982803,9195 DTC,40,2022,Negro,petrol,manual,1664,236,52120,2022-06-10
7,ZZKVJXXE7NT210223,7660 KXW,26,2022,Blanco,diesel,manual,2437,279,34594,2022-01-25
8,ZZMGPGNP9KU616206,4264 WNV,37,2019,Blanco,diesel,manual,1766,141,52285,2019-11-26
9,ZZNXDHUVXSP273088,4997 DFP,9,2025,Negro,diesel,automatic,1660,232,6659,2025-03-13
10,ZZKU6MED3KA406138,3906 HDJ,68,2019,Negro,petrol,automatic,1268,106,73824,2019-04-18
11,ZZMK5BJ39LN129167,8231 XPP,56,2020,Blanco,plug_in_hybrid,manual,1655,224,81919,2020-10-21
12,ZZLEK1B65JF417997,3922 YPR,2,2018,Blanco,diesel,automatic,1144,93,159069,2018-10-24
13,ZZBHD9DT2MT411948,4514 BGT,61,2021,Negro,diesel,automatic,1905,221,75097,2021-12-01
14,ZZF3F88R0GN824102,6684 JLD,33,2016,Gris,diesel,manual,1808,167,72571,2016-09-25
15,ZZBVMPGY7GV105240,9327 VTV,3,2016,Azul,plug_in_hybrid,automatic,1622,151,163139,2016-01-07
16,ZZCVFMUX1PJ775082,0906 DKM,66,2023,Negro,diesel,automatic,2225,253,35386,2023-06-18
17,ZZA6KTLC7KK791162,7409 GRL,43,2019,Plata,lpg,automatic,1078,68,49893,2019-09-05
18,ZZGV7HKJ4DJ874010,0090 DSG,64,2013,Blanco,plug_in_hybrid,manual,1923,252,163445,2013-05-03
19,ZZLSLMN38NH169161,9589 JFZ,4,2022,Rojo,petrol,automatic,2011,296,51273,2022-06-25
20,ZZCMGDUC0NP579280,9024 PTW,41,2022,Plata,diesel,manual,1040,122,32558,2022-04-01
21,ZZJ8NUFJ6LT398393,4189 DCN,28,2020,Negro,petrol,manual,1651,118,76452,2020-02-02
22,ZZGE8GCL2PW035116,4532 HYN,16,2023,Blanco,plug_in_hybrid,manual,1491,150,27156,2023-04-13
23,ZZL2FPMH5HR819648,3297 XXN,2,2017,Rojo,diesel,manual,1062,71,115189,2017-01-08
24,ZZJV6YMW5NB862594,6884 JYJ,14,2022,Azul,petrol,manual,2106,372,42578,2022-07-12
25,ZZCV3VK78KE643651,1451 DNH,6,2019,Blanco,diesel,manual,1773,132,133095,2019-07-09
26,ZZL7CUGL3JF517201,1345 GCR,4,2018,Plata,electric,automatic,0,204,49480,2018-02-06
27,ZZFCTJCV3DJ363064,7075 NNH,44,2013,Negro,diesel,automatic,1359,180,168086,2013-09-27
28,ZZHY7JGC8LX052882,1850 WWC,70,2020,Negro,diesel,automatic,2057,272,82302,2020-05-21
29,ZZLZXRTV8LG949569,6150 NLT,22,2020,Blanco,diesel,manual,1864,223,100708,2020-05-24
