id,enrollment_id,session_date,status,minutes_late
1,1,2024-04-08,present,0
2,1,2024-02-09,late,20
3,1,2024-05-13,present,0
4,1,2024-02-29,excused,0
5,1,2024-04-23,present,0
6,1,2024-05-08,absent,0
7,1,2023-11-20,present,0
8,1,2024-05-09,present,0
9,1,2024-06-03,present,0
10,1,2024-03-22,present,0
11,2,2024-12-23,present,0
12,2,2025-02-17,present,0
13,2,2025-04-08,present,0
14,2,2025-02-28,present,0
15,2,2025-04-04,present,0
16,2,2024-11-04,present,0
17,2,2024-10-08,present,0
18,2,2024-09-17,present,0
19,2,2024-12-09,present,0
20,2,2024-12-03,present,0
21,3,2025-04-14,present,0
22,3,2024-09-16,present,0
23,3,2025-04-25,excused,0
24,3,2024-12-11,present,0
25,3,2025-04-11,absent,0
26,3,2024-12-30,present,0
27,3,2025-02-25,present,0
28,3,2025-06-09,present,0
29,3,2025-05-30,present,0
30,3,2024-10-07,present,0
31,4,2024-11-25,present,0
32,4,2025-05-26,present,0
33,4,2024-11-28,present,0
34,4,2025-05-15,present,0
35,4,2024-12-24,present,0
36,4,2025-01-17,present,0
37,4,2024-11-21,present,0
38,4,2025-04-30,late,23
39,4,2024-12-04,present,0
40,4,2025-03-26,present,0
41,5,2022-10-31,present,0
42,5,2023-03-01,present,0
43,5,2022-10-26,present,0
44,5,2023-04-25,present,0
45,5,2022-12-07,present,0
46,5,2022-09-13,excused,0
47,5,2023-04-27,present,0
48,5,2023-06-05,present,0
49,5,2023-01-11,present,0
50,5,2022-11-21,present,0
51,6,2025-02-13,present,0
52,6,2025-01-22,present,0
53,6,2024-10-21,present,0
54,6,2025-06-06,present,0
55,6,2024-10-07,present,0
56,6,2025-02-24,present,0
57,6,2024-09-09,present,0
58,6,2025-05-29,present,0
59,6,2024-10-23,present,0
60,6,2024-11-29,present,0
61,7,2023-03-20,present,0
62,7,2023-05-09,present,0
63,7,2022-11-28,absent,0
64,7,2022-09-27,present,0
65,7,2022-09-26,absent,0
66,7,2023-06-12,present,0
67,7,2022-12-19,present,0
68,7,2023-05-25,present,0
69,7,2023-04-07,present,0
70,7,2022-12-23,present,0
71,8,2023-09-18,present,0
72,8,2024-01-29,excused,0
73,8,2023-11-06,present,0
74,8,2024-02-19,present,0
75,8,2023-11-03,present,0
76,8,2024-06-13,present,0
77,8,2024-02-16,present,0
78,8,2023-12-18,present,0
79,8,2024-02-09,present,0
80,8,2024-01-15,present,0
81,9,2024-12-05,present,0
82,9,2025-04-21,present,0
83,9,2025-01-06,present,0
84,9,2024-11-12,late,30
85,9,2024-10-17,present,0
86,9,2025-06-05,late,19
87,9,2024-11-11,present,0
88,9,2024-09-16,excused,0
89,9,2025-06-02,present,0
90,9,2024-10-15,absent,0
91,10,2024-01-01,present,0
92,10,2024-04-15,absent,0
93,10,2024-02-05,present,0
94,10,2024-02-22,present,0
95,10,2024-04-15,present,0
96,10,2023-12-26,absent,0
97,10,2024-03-15,present,0
98,10,2024-06-03,present,0
99,10,2024-06-11,present,0
100,10,2024-06-19,absent,0
101,11,2022-09-20,present,0
102,11,2023-03-27,present,0
103,11,2023-02-20,present,0
104,11,2023-04-24,present,0
105,11,2023-05-09,present,0
106,11,2022-12-09,absent,0
107,11,2023-02-28,present,0
108,11,2022-09-29,absent,0
109,11,2022-12-01,excused,0
110,11,2022-11-24,present,0
111,12,2024-06-13,present,0
112,12,2024-06-20,present,0
113,12,2024-06-17,present,0
114,12,2023-09-13,present,0
115,12,2024-01-19,present,0
116,12,2024-05-22,late,29
117,12,2023-09-25,present,0
118,12,2024-06-10,present,0
119,12,2023-10-09,present,0
120,12,2024-03-26,present,0
121,13,2022-09-16,present,0
122,13,2023-01-20,present,0
123,13,2023-01-23,present,0
124,13,2023-05-22,present,0
125,13,2022-12-12,present,0
126,13,2023-06-12,present,0
127,13,2022-12-05,present,0
128,13,2023-04-20,present,0
129,13,2023-03-16,present,0
130,13,2023-04-17,present,0
131,14,2022-11-14,present,0
132,14,2023-05-15,present,0
133,14,2022-11-14,present,0
134,14,2023-01-05,present,0
135,14,2022-12-19,present,0
136,14,2023-05-16,present,0
137,14,2023-01-06,present,0
138,14,2023-02-06,present,0
139,14,2023-05-02,present,0
140,14,2023-04-11,present,0
141,15,2023-04-05,present,0
142,15,2023-03-30,present,0
143,15,2023-05-26,present,0
144,15,2023-05-16,present,0
145,15,2022-12-06,present,0
146,15,2023-02-08,present,0
147,15,2023-05-08,present,0
148,15,2023-05-22,present,0
149,15,2022-11-16,present,0
150,15,2023-01-05,present,0
151,16,2025-04-17,present,0
152,16,2024-10-09,late,30
153,16,2025-01-07,present,0
154,16,2025-03-06,present,0
155,16,2024-12-19,present,0
156,16,2025-04-21,present,0
157,16,2024-09-12,present,0
158,16,2024-12-13,present,0
159,16,2025-03-03,present,0
160,16,2025-01-08,present,0
161,17,2024-09-23,present,0
162,17,2025-05-29,present,0
163,17,2024-10-25,present,0
164,17,2025-05-13,present,0
165,17,2025-06-02,present,0
166,17,2025-03-10,present,0
167,17,2024-10-04,present,0
168,17,2025-03-27,late,34
169,17,2025-02-07,present,0
170,17,2025-06-09,present,0
171,18,2025-01-02,present,0
172,18,2025-02-14,present,0
173,18,2024-12-12,absent,0
174,18,2025-04-07,excused,0
175,18,2025-01-13,present,0
176,18,2024-10-17,present,0
177,18,2024-10-15,present,0
178,18,2025-02-17,present,0
179,18,2025-01-27,present,0
180,18,2025-01-13,present,0
181,19,2024-04-15,present,0
182,19,2023-10-13,present,0
183,19,2024-05-14,present,0
184,19,2023-12-11,present,0
185,19,2024-02-20,present,0
186,19,2024-05-06,late,17
187,19,2024-05-10,present,0
188,19,2024-06-17,present,0
189,19,2023-10-02,present,0
190,19,2024-05-31,present,0
191,20,2024-05-09,present,0
192,20,2024-06-12,present,0
193,20,2024-01-31,present,0
194,20,2024-02-05,present,0
195,20,2024-04-12,present,0
196,20,2023-12-11,present,0
197,20,2023-10-04,present,0
198,20,2024-02-05,excused,0
199,20,2024-01-08,present,0
200,20,2024-02-28,present,0
201,21,2024-05-13,present,0
202,21,2023-09-18,present,0
203,21,2024-04-01,present,0
204,21,2024-05-27,present,0
205,21,2024-06-10,present,0
