id,school_id,room_code,building,floor,capacity,room_type
1,1,B-216,Edificio B,2,22,computer_lab
2,1,A-302,Edificio A,3,34,workshop
3,1,A-006,Edificio A,0,23,computer_lab
4,1,B-008,Edificio B,0,29,standard
5,1,B-205,Edificio B,2,33,gym
6,1,B-108,Edificio B,1,30,gym
7,1,A-314,Edificio A,3,20,laboratory
8,1,A-302,Edificio A,3,30,standard
9,1,A-206,Edificio A,2,26,gym
10,1,B-102,Edificio B,1,36,standard
11,1,A-304,Edificio A,3,25,standard
12,1,B-003,Edificio B,0,16,computer_lab
13,2,A-120,Edificio A,1,24,workshop
14,2,A-004,Edificio A,0,21,computer_lab
15,2,A-303,Edificio A,3,31,standard
16,2,A-314,Edificio A,3,39,standard
17,2,A-109,Edificio A,1,27,workshop
18,2,A-001,Edificio A,0,17,laboratory
19,2,A-315,Edificio A,3,39,standard
20,2,A-301,Edificio A,3,24,standard
21,2,A-108,Edificio A,1,35,standard
22,2,A-314,Edificio A,3,25,standard
23,2,A-014,Edificio A,0,23,computer_lab
24,2,A-112,Edificio A,1,25,standard
25,3,B-205,Edificio B,2,25,standard
26,3,B-304,Edificio B,3,28,standard
27,3,A-109,Edificio A,1,26,standard
28,3,A-014,Edificio A,0,33,standard
29,3,B-302,Edificio B,3,40,standard
30,3,B-017,Edificio B,0,26,standard
31,3,A-219,Edificio A,2,31,standard
32,3,B-008,Edificio B,0,37,standard
33,3,B-016,Edificio B,0,35,standard
34,3,A-216,Edificio A,2,28,gym
35,3,A-014,Edificio A,0,39,workshop
36,3,A-220,Edificio A,2,31,standard
37,4,A-213,Edificio A,2,16,computer_lab
38,4,A-310,Edificio A,3,27,standard
39,4,A-002,Edificio A,0,40,standard
40,4,A-116,Edificio A,1,40,standard
41,4,A-201,Edificio A,2,24,computer_lab
42,4,A-211,Edificio A,2,26,gym
43,4,A-015,Edificio A,0,25,standard
44,4,A-003,Edificio A,0,27,standard
45,4,A-107,Edificio A,1,24,music
46,4,A-317,Edificio A,3,30,standard
47,4,A-302,Edificio A,3,25,standard
48,4,A-309,Edificio A,3,29,standard
49,5,A-313,Edificio A,3,27,standard
50,5,A-315,Edificio A,3,40,standard
51,5,A-004,Edificio A,0,33,standard
52,5,A-004,Edificio A,0,36,workshop
53,5,A-303,Edificio A,3,17,computer_lab
54,5,B-014,Edificio B,0,25,standard
55,5,B-011,Edificio B,0,24,laboratory
56,5,A-113,Edificio A,1,37,standard
57,5,A-101,Edificio A,1,37,standard
58,5,A-009,Edificio A,0,34,workshop
59,5,A-319,Edificio A,3,31,standard
60,5,A-107,Edificio A,1,25,standard
61,6,A-005,Edificio A,0,20,laboratory
62,6,A-319,Edificio A,3,24,standard
63,6,A-219,Edificio A,2,32,standard
64,6,A-305,Edificio A,3,21,computer_lab
65,6,A-203,Edificio A,2,22,laboratory
66,6,A-017,Edificio A,0,34,standard
67,6,A-015,Edificio A,0,38,standard
68,6,A-205,Edificio A,2,31,standard
69,6,A-319,Edificio A,3,30,standard
70,6,A-312,Edificio A,3,20,computer_lab
71,6,A-208,Edificio A,2,36,standard
72,6,A-213,Edificio A,2,37,standard
73,7,A-214,Edificio A,2,22,laboratory
74,7,A-310,Edificio A,3,30,standard
75,7,A-213,Edificio A,2,24,standard
76,7,A-207,Edificio A,2,28,standard
77,7,A-313,Edificio A,3,40,gym
78,7,A-220,Edificio A,2,19,music
79,7,A-109,Edificio A,1,37,standard
80,7,A-302,Edificio A,3,34,standard
81,7,A-005,Edificio A,0,39,workshop
82,7,A-212,Edificio A,2,15,computer_lab
83,7,A-111,Edificio A,1,33,standard
84,7,A-318,Edificio A,3,31,standard
85,8,A-220,Edificio A,2,29,workshop
86,8,A-304,Edificio A,3,34,standard
87,8,A-008,Edificio A,0,23,music
88,8,B-110,Edificio B,1,39,standard
89,8,B-302,Edificio B,3,20,music
90,8,B-313,Edificio B,3,35,standard
91,8,B-306,Edificio B,3,26,standard
92,8,A-305,Edificio A,3,30,standard
93,8,B-314,Edificio B,3,26,standard
94,8,B-203,Edificio B,2,40,standard
95,8,A-202,Edificio A,2,27,gym
96,8,A-218,Edificio A,2,35,workshop
97,9,A-319,Edificio A,3,40,standard
98,9,B-308,Edificio B,3,28,standard
99,9,B-106,Edificio B,1,36,standard
100,9,B-310,Edificio B,3,36,standard
101,9,B-309,Edificio B,3,23,laboratory
102,9,A-108,Edificio A,1,35,standard
103,9,B-310,Edificio B,3,26,standard
104,9,B-008,Edificio B,0,36,standard
105,9,A-001,Edificio A,0,38,standard
106,9,A-203,Edificio A,2,36,workshop
107,9,B-116,Edificio B,1,29,standard
108,9,B-218,Edificio B,2,30,standard
109,10,B-204,Edificio B,2,30,standard
110,10,B-320,Edificio B,3,33,standard
111,10,A-209,Edificio A,2,27,standard
112,10,B-204,Edificio B,2,20,computer_lab
113,10,A-216,Edificio A,2,32,standard
114,10,A-110,Edificio A,1,31,workshop
115,10,A-014,Edificio A,0,22,music
116,10,B-006,Edificio B,0,22,laboratory
117,10,B-305,Edificio B,3,34,standard
118,10,B-019,Edificio B,0,32,standard
119,10,B-217,Edificio B,2,35,standard
120,10,A-018,Edificio A,0,37,standard
