id,school_id,teacher_id,code,title,stage,year_level,academic_year,hours_per_week
1,5,128,GEO-00001,Geografía e Historia,ESO,1,2022/2023,3
2,9,160,MUS-00002,Música,Primaria,1,2023/2024,4
3,2,147,CIE-00003,Ciencias Naturales,Primaria,1,2022/2023,4
4,9,16,ING-00004,Inglés,Primaria,1,2022/2023,3
5,4,152,MAT-00005,Matemáticas,Primaria,6,2023/2024,3
6,8,77,FOR-00006,Formación y Orientación Laboral,FP,2,2023/2024,2
7,1,27,MUS-00007,Música,ESO,2,2023/2024,5
8,8,69,GES-00008,Gestión Administrativa,FP,1,2024/2025,4
9,8,176,BAS-00009,Bases de Datos,FP,2,2024/2025,4
10,9,137,CIE-00010,Ciencias Naturales,Primaria,3,2022/2023,2
11,10,10,LAT-00011,Latín,Bachillerato,1,2024/2025,2
12,6,5,EDU-00012,Educación Artística,Primaria,1,2023/2024,3
13,10,189,EDU-00013,Educación Física,ESO,2,2022/2023,2
14,3,87,TEC-00014,Tecnología,ESO,2,2022/2023,3
15,3,145,BAS-00015,Bases de Datos,FP,1,2023/2024,2
16,8,182,EDU-00016,Educación Plástica,ESO,3,2022/2023,2
17,10,186,MAT-00017,Matemáticas,Primaria,3,2023/2024,2
18,1,29,MUS-00018,Música,Primaria,4,2022/2023,4
19,1,103,LEN-00019,Lengua Castellana y Literatura,ESO,4,2024/2025,3
20,7,58,EDU-00020,Educación Física,Primaria,6,2022/2023,3
21,7,165,MUS-00021,Música,Primaria,2,2024/2025,3
22,2,3,MUS-00022,Música,Primaria,2,2024/2025,4
23,5,148,CIE-00023,Ciencias Naturales,Primaria,3,2022/2023,2
24,10,117,QUI-00024,Química,Bachillerato,1,2023/2024,5
25,7,108,LEN-00025,Lengua Castellana,Primaria,4,2023/2024,4
26,2,118,REL-00026,Religión / Valores,Primaria,4,2024/2025,5
27,7,95,ING-00027,Inglés,Primaria,6,2022/2023,5
28,6,135,LEN-00028,Lengua Castellana,Primaria,6,2022/2023,4
29,3,87,GEO-00029,Geografía e Historia,ESO,2,2024/2025,2
30,10,54,BIO-00030,Biología,Bachillerato,2,2023/2024,3
31,6,169,MAT-00031,Matemáticas,Primaria,2,2022/2023,5
32,7,39,CIE-00032,Ciencias Sociales,Primaria,6,2024/2025,3
33,2,126,EDU-00033,Educación Artística,Primaria,2,2024/2025,3
34,8,93,ING-00034,Inglés,Bachillerato,2,2022/2023,3
35,2,71,REL-00035,Religión / Valores,Primaria,4,2023/2024,3
36,2,3,CIE-00036,Ciencias Sociales,Primaria,2,2023/2024,1
37,5,18,ING-00037,Inglés,ESO,4,2022/2023,4
38,3,55,FIS-00038,Física,Bachillerato,1,2023/2024,3
39,6,62,ING-00039,Inglés,Primaria,1,2022/2023,2
40,1,78,ING-00040,Inglés,Primaria,5,2022/2023,2
41,4,72,MUS-00041,Música,Primaria,3,2022/2023,3
42,6,85,MUS-00042,Música,Primaria,4,2024/2025,4
43,9,4,REL-00043,Religión / Valores,Primaria,4,2023/2024,1
44,8,35,SIS-00044,Sistemas Informáticos,FP,1,2023/2024,3
45,5,73,MAT-00045,Matemáticas I,Bachillerato,1,2023/2024,3
46,1,75,MAT-00046,Matemáticas I,Bachillerato,2,2024/2025,4
47,3,116,MAT-00047,Matemáticas I,Bachillerato,2,2022/2023,3
48,8,93,FIS-00048,Física y Química,ESO,2,2022/2023,3
49,2,26,ING-00049,Inglés,Primaria,6,2022/2023,4
50,10,179,CIE-00050,Ciencias Sociales,Primaria,2,2024/2025,4
51,6,5,ING-00051,Inglés,Primaria,6,2023/2024,4
52,4,131,LEN-00052,Lengua Castellana y Literatura,ESO,1,2022/2023,4
53,3,175,LAT-00053,Latín,Bachillerato,2,2024/2025,2
54,2,71,EDU-00054,Educación Artística,Primaria,1,2023/2024,4
55,2,71,EDU-00055,Educación Física,Primaria,1,2022/2023,2
56,6,85,EDU-00056,Educación Artística,Primaria,1,2024/2025,3
57,10,174,MUS-00057,Música,ESO,4,2022/2023,5
58,6,129,CIE-00058,Ciencias Sociales,Primaria,6,2023/2024,1
59,3,55,LIT-00059,Literatura Universal,Bachillerato,1,2024/2025,4
60,5,67,FRA-00060,Francés,ESO,3,2022/2023,5
61,9,178,REL-00061,Religión / Valores,Primaria,4,2024/2025,5
