id,student_id,course_id,enrolled_on,status,final_grade,grade_band,attendance_rate
1,1,43,2023-09-09,completed,4.17,Suspenso,0.80
2,1,120,2024-09-09,completed,5.54,Aprobado,1.00
3,1,61,2024-09-09,completed,5.00,Aprobado,0.80
4,1,77,2024-09-09,completed,7.10,Notable,1.00
5,2,175,2022-09-09,in_progress,,,0.90
6,2,78,2024-09-09,in_progress,,,1.00
7,2,88,2022-09-09,completed,6.46,Bien,0.80
8,3,30,2023-09-09,completed,4.48,Suspenso,0.90
9,3,81,2024-09-09,completed,4.49,Suspenso,0.80
10,3,282,2023-09-09,completed,2.86,Suspenso,0.70
11,3,67,2022-09-09,completed,5.20,Aprobado,0.70
12,3,252,2023-09-09,completed,4.82,Suspenso,1.00
13,4,257,2022-09-09,in_progress,,,1.00
14,4,52,2022-09-09,completed,6.18,Bien,1.00
15,5,68,2022-09-09,completed,8.46,Notable,1.00
16,5,160,2024-09-09,completed,5.91,Aprobado,1.00
17,5,172,2024-09-09,completed,7.70,Notable,1.00
18,6,93,2024-09-09,completed,7.72,Notable,0.80
19,6,221,2023-09-09,completed,8.38,Notable,1.00
20,6,249,2023-09-09,completed,6.20,Bien,0.90
21,6,245,2023-09-09,withdrawn,6.55,Bien,1.00
22,7,177,2024-09-09,completed,6.08,Bien,1.00
23,7,242,2022-09-09,completed,7.34,Notable,0.90
24,7,16,2022-09-09,completed,8.18,Notable,1.00
25,8,71,2022-09-09,in_progress,,,0.90
26,8,284,2024-09-09,completed,6.94,Bien,0.90
27,8,209,2022-09-09,completed,6.92,Bien,1.00
28,9,293,2022-09-09,completed,3.87,Suspenso,0.80
29,9,158,2024-09-09,completed,5.74,Aprobado,0.90
30,10,105,2024-09-09,completed,4.80,Suspenso,0.80
31,10,46,2024-09-09,in_progress,,,0.70
32,10,148,2023-09-09,completed,6.01,Bien,0.90
33,11,118,2024-09-09,completed,4.19,Suspenso,1.00
34,11,159,2023-09-09,completed,5.96,Aprobado,0.80
35,11,192,2022-09-09,in_progress,,,0.90
36,11,291,2024-09-09,completed,6.88,Bien,0.70
37,12,268,2022-09-09,completed,6.32,Bien,0.90
38,12,149,2024-09-09,in_progress,,,1.00
39,13,29,2024-09-09,completed,6.11,Bien,1.00
40,13,66,2023-09-09,withdrawn,6.86,Bien,0.80
41,14,55,2022-09-09,completed,7.59,Notable,1.00
42,14,183,2024-09-09,completed,6.10,Bien,1.00
43,14,286,2024-09-09,in_progress,,,1.00
44,15,103,2024-09-09,completed,6.61,Bien,0.80
45,15,187,2024-09-09,completed,7.27,Notable,1.00
46,15,83,2022-09-09,completed,3.46,Suspenso,1.00
47,15,219,2024-09-09,in_progress,,,0.70
48,16,60,2022-09-09,completed,8.18,Notable,1.00
49,16,251,2023-09-09,completed,7.40,Notable,1.00
50,16,290,2024-09-09,completed,8.86,Notable,1.00
51,16,86,2023-09-09,completed,7.17,Notable,1.00
52,17,34,2022-09-09,in_progress,,,0.90
53,18,293,2022-09-09,withdrawn,8.61,Notable,1.00
