id,course_id,classroom_id,exam_date,exam_type,duration_minutes,max_score,registered_students
1,53,27,2025-01-30,resit,90,10.00,11
2,265,5,2023-04-06,final,90,10.00,32
3,16,91,2022-11-07,midterm,45,10.00,9
4,194,106,2025-06-16,midterm,60,10.00,36
5,285,49,2024-03-12,midterm,60,10.00,21
6,121,1,2024-04-22,final,150,10.00,20
7,262,7,2023-03-27,final,180,10.00,17
8,121,6,2023-09-14,midterm,45,10.00,24
9,291,71,2025-06-12,mock,60,10.00,13
10,80,109,2024-03-13,mock,90,10.00,13
11,160,12,2025-04-25,mock,45,10.00,9
12,223,23,2023-11-13,midterm,90,10.00,19
13,262,8,2023-02-20,final,120,10.00,23
14,177,96,2024-12-09,final,90,10.00,21
15,147,21,2025-03-11,mock,90,10.00,19
16,133,115,2023-10-11,final,120,10.00,9
17,296,44,2024-10-16,midterm,60,10.00,18
18,67,115,2022-11-14,midterm,45,10.00,14
19,151,69,2023-10-09,midterm,60,10.00,25
20,97,42,2022-10-31,midterm,90,10.00,12
21,199,58,2024-03-11,midterm,60,10.00,17
22,293,48,2023-03-13,midterm,90,10.00,26
23,49,16,2022-09-20,final,60,10.00,37
24,209,25,2023-05-01,mock,60,10.00,21
25,162,105,2024-11-14,mock,60,10.00,22
26,42,70,2025-04-28,midterm,60,10.00,9
27,245,31,2024-03-07,midterm,45,10.00,23
28,250,27,2022-12-12,midterm,60,10.00,17
29,259,117,2024-05-22,final,90,10.00,17
30,162,103,2025-06-19,midterm,45,10.00,25
31,3,24,2022-12-12,resit,90,10.00,21
32,260,61,2023-06-06,midterm,60,10.00,20
33,274,67,2025-04-21,mock,90,10.00,36
34,106,120,2025-04-11,midterm,90,10.00,19
35,117,46,2024-05-06,mock,90,10.00,19
36,210,91,2024-02-29,midterm,90,10.00,13
37,44,89,2023-12-12,final,60,10.00,8
38,5,42,2023-10-02,mock,90,10.00,19
39,95,23,2024-12-30,mock,60,10.00,23
40,236,64,2024-09-09,resit,60,10.00,8
41,285,56,2023-12-22,midterm,90,10.00,37
42,199,60,2024-06-20,final,150,10.00,18
43,298,87,2023-02-17,midterm,60,10.00,10
44,166,100,2023-02-17,midterm,45,10.00,21
45,154,114,2025-03-31,final,60,10.00,18
46,287,87,2022-11-09,resit,90,10.00,18
47,24,116,2023-11-27,midterm,60,10.00,17
48,111,23,2023-01-24,midterm,60,10.00,8
49,272,38,2025-02-18,final,90,10.00,25
50,250,29,2022-12-19,midterm,90,10.00,37
51,116,21,2022-11-28,mock,90,10.00,11
52,6,94,2023-12-06,final,120,10.00,16
53,23,60,2022-11-07,mock,90,10.00,15
54,272,46,2025-03-07,midterm,45,10.00,15
55,282,114,2024-04-19,final,150,10.00,13
56,247,90,2022-11-08,midterm,60,10.00,15
57,25,74,2024-02-19,midterm,60,10.00,27
58,229,80,2023-04-28,final,120,10.00,23
59,194,102,2025-01-23,midterm,45,10.00,24
60,199,60,2023-10-03,mock,90,10.00,18
61,256,109,2023-03-15,mock,90,10.00,18
62,210,96,2023-11-28,midterm,90,10.00,35
63,107,2,2025-04-14,final,120,10.00,19
64,21,82,2024-10-18,midterm,45,10.00,8
65,65,54,2024-02-23,mock,45,10.00,11
66,23,57,2022-10-20,final,60,10.00,32
67,224,65,2023-11-29,midterm,60,10.00,8
68,81,111,2025-05-02,mock,45,10.00,22
69,28,62,2023-03-03,midterm,45,10.00,9
70,220,106,2024-04-22,resit,90,10.00,27
71,165,7,2025-02-18,final,120,10.00,12
72,45,57,2023-10-13,mock,90,10.00,33
73,270,48,2023-04-10,midterm,60,10.00,21
74,273,6,2024-11-07,mock,60,10.00,15
75,248,3,2023-10-09,resit,120,10.00,22
76,142,87,2025-01-01,final,120,10.00,17
77,177,90,2025-05-05,midterm,60,10.00,15
78,139,9,2025-05-20,midterm,60,10.00,21
79,123,32,2025-02-14,mock,60,10.00,27
80,203,59,2023-09-18,midterm,60,10.00,30
81,218,3,2023-10-02,resit,60,10.00,19
82,18,8,2023-04-13,final,60,10.00,27
83,190,10,2024-05-29,mock,45,10.00,35
84,246,53,2024-01-11,mock,45,10.00,12
85,245,26,2023-10-06,mock,60,10.00,18
86,69,94,2025-03-13,final,60,10.00,34
87,259,119,2024-06-10,midterm,45,10.00,19
88,279,100,2022-11-21,final,90,10.00,20
89,95,18,2025-02-04,mock,45,10.00,13
90,148,6,2024-06-17,final,150,10.00,15
91,239,55,2024-11-28,resit,90,10.00,24
92,15,30,2024-03-12,final,90,10.00,14
93,294,82,2023-04-24,mock,60,10.00,11
94,121,10,2024-03-25,final,120,10.00,16
95,253,45,2022-11-09,resit,120,10.00,12
96,71,36,2023-01-06,midterm,60,10.00,22
97,284,33,2025-01-14,midterm,45,10.00,20
98,293,47,2022-11-07,final,120,10.00,15
99,123,32,2025-03-21,midterm,90,10.00,33
100,16,90,2023-05-31,final,120,10.00,28
101,170,95,2023-03-13,final,120,10.00,15
102,262,11,2023-03-30,final,120,10.00,19
103,94,81,2023-12-14,midterm,45,10.00,35
104,132,80,2022-09-30,final,120,10.00,25
105,114,28,2024-11-11,final,90,10.00,18
106,294,81,2023-04-24,midterm,90,10.00,32
107,255,108,2022-09-20,mock,45,10.00,19
108,5,41,2023-12-19,midterm,45,10.00,9
109,17,110,2023-10-30,final,120,10.00,23
110,171,34,2025-05-12,mock,45,10.00,23
111,1,60,2023-04-27,midterm,60,10.00,11
112,75,56,2022-11-21,resit,120,10.00,26
113,192,69,2023-02-02,midterm,90,10.00,17
114,278,86,2024-06-17,resit,60,10.00,31
115,55,15,2023-02-13,midterm,60,10.00,10
116,38,34,2023-11-09,final,120,10.00,22
117,45,54,2023-10-30,final,120,10.00,12
118,260,67,2022-09-21,midterm,60,10.00,20
119,80,111,2024-04-02,midterm,60,10.00,12
120,46,4,2025-03-14,resit,60,10.00,12
121,128,93,2024-10-21,midterm,90,10.00,18
122,57,119,2022-12-20,midterm,90,10.00,21
123,239,52,2025-01-16,midterm,60,10.00,27
124,277,80,2024-01-02,midterm,60,10.00,23
125,106,110,2025-04-28,resit,90,10.00,26
126,242,85,2023-06-08,final,90,10.00,28
127,284,27,2025-02-24,midterm,45,10.00,12
128,74,66,2023-10-30,final,90,10.00,11
129,181,92,2024-02-05,final,60,10.00,19
130,145,101,2025-01-30,midterm,90,10.00,9
131,69,86,2025-04-28,mock,45,10.00,24
132,183,14,2025-03-12,midterm,45,10.00,14
133,160,3,2025-06-02,resit,60,10.00,19
134,103,84,2025-02-24,final,60,10.00,26
135,54,16,2024-01-08,midterm,90,10.00,32
136,21,74,2025-01-08,mock,90,10.00,18
137,295,52,2023-09-26,final,120,10.00,24
138,225,90,2023-09-29,final,120,10.00,29
139,84,51,2023-04-24,final,120,10.00,29
140,290,60,2025-05-19,midterm,90,10.00,9
141,36,15,2023-11-16,midterm,45,10.00,18
142,237,51,2024-11-26,final,120,10.00,21
143,38,35,2024-06-20,midterm,45,10.00,26
144,224,71,2023-12-04,resit,120,10.00,20
145,259,113,2024-01-05,midterm,45,10.00,21
146,38,28,2023-12-13,mock,45,10.00,31
147,113,46,2023-01-02,final,120,10.00,18
148,145,105,2025-02-10,mock,45,10.00,28
149,167,3,2023-04-04,final,60,10.00,20
150,15,27,2023-12-19,resit,120,10.00,13
151,121,7,2024-03-29,midterm,60,10.00,16
152,275,78,2023-01-25,midterm,45,10.00,9
153,25,73,2023-10-30,resit,90,10.00,11
154,34,93,2022-11-17,mock,45,10.00,12
155,260,62,2022-10-06,midterm,60,10.00,17
156,98,72,2024-10-16,midterm,90,10.00,19
157,60,58,2023-02-16,mock,90,10.00,14
158,122,32,2023-04-27,mock,45,10.00,34
159,120,108,2024-09-18,mock,60,10.00,24
160,31,67,2023-05-31,midterm,90,10.00,14
161,140,75,2023-11-10,midterm,45,10.00,24
162,158,38,2025-01-16,mock,60,10.00,14
163,216,44,2025-06-04,final,120,10.00,16
164,227,54,2025-02-12,midterm,60,10.00,15
165,173,32,2024-03-11,final,120,10.00,16
166,230,86,2022-12-16,resit,60,10.00,11
167,17,109,2024-04-22,midterm,45,10.00,20
168,292,71,2025-04-11,midterm,60,10.00,29
169,41,46,2023-01-12,midterm,90,10.00,20
170,297,86,2024-12-09,resit,120,10.00,14
171,101,106,2023-05-15,mock,45,10.00,23
172,202,52,2025-06-10,final,60,10.00,32
173,290,58,2025-05-05,resit,90,10.00,20
174,126,3,2022-12-07,mock,60,10.00,10
175,266,6,2023-10-04,mock,90,10.00,28
176,293,43,2023-06-14,midterm,60,10.00,20
177,28,63,2023-05-08,resit,90,10.00,14
178,257,38,2023-03-27,midterm,90,10.00,24
179,139,3,2024-11-13,midterm,60,10.00,22
180,159,62,2024-01-18,final,90,10.00,10
181,118,61,2024-09-30,resit,90,10.00,16
