id,enrollment_id,assessment_type,title,score,weight,graded_on
1,1,exam,Examen 1º trimestre,2.40,0.70,2023-09-20
2,1,coursework,Trabajo 2º trimestre,8.30,0.30,2023-11-27
3,2,exam,Examen 1º trimestre,6.00,0.35,2024-11-20
4,2,exam,Examen 2º trimestre,6.40,0.35,2025-01-17
5,2,coursework,Trabajo 3º trimestre,4.00,0.30,2025-03-01
6,3,exam,Examen 1º trimestre,6.30,0.35,2024-12-31
7,3,exam,Examen 2º trimestre,5.00,0.35,2025-02-16
8,3,coursework,Trabajo 3º trimestre,3.50,0.30,2024-11-27
9,4,exam,Examen 1º trimestre,7.00,0.40,2025-05-05
10,4,practical,Trabajo 2º trimestre,7.50,0.25,2024-12-29
11,4,coursework,Trabajo 3º trimestre,7.00,0.25,2025-05-11
12,4,participation,Trabajo 1º trimestre,6.80,0.10,2025-04-13
13,5,exam,Examen 1º trimestre,8.30,0.40,2022-11-02
14,5,practical,Trabajo 2º trimestre,6.40,0.25,2023-05-03
15,5,coursework,Trabajo 3º trimestre,9.50,0.25,2023-01-30
16,5,participation,Trabajo 1º trimestre,6.10,0.10,2022-10-22
17,6,exam,Examen 1º trimestre,3.40,0.70,2024-10-13
18,6,coursework,Trabajo 2º trimestre,4.60,0.30,2024-12-29
19,7,exam,Examen 1º trimestre,7.50,0.35,2023-03-08
20,7,exam,Examen 2º trimestre,7.60,0.35,2022-11-12
21,7,coursework,Trabajo 3º trimestre,3.90,0.30,2022-11-24
22,8,exam,Examen 1º trimestre,3.50,0.60,2023-09-18
23,8,coursework,Trabajo 2º trimestre,6.20,0.30,2023-10-01
24,8,participation,Trabajo 3º trimestre,5.20,0.10,2023-10-05
25,9,exam,Examen 1º trimestre,3.00,0.60,2024-11-15
26,9,coursework,Trabajo 2º trimestre,6.90,0.30,2025-05-17
27,9,participation,Trabajo 3º trimestre,6.20,0.10,2025-01-15
28,10,exam,Examen 1º trimestre,3.20,0.40,2023-12-17
29,10,practical,Trabajo 2º trimestre,1.50,0.25,2024-04-27
