id,base_currency,quote_currency,rate_date,rate
1,EUR,CHF,2024-04-22,0.96
2,EUR,GBP,2024-04-22,0.85
3,EUR,JPY,2024-04-22,162.05
4,EUR,MXN,2024-04-22,18.63
5,EUR,USD,2024-04-22,1.09
6,EUR,CHF,2024-04-23,0.96
7,EUR,GBP,2024-04-23,0.86
8,EUR,JPY,2024-04-23,162.62
9,EUR,MXN,2024-04-23,18.62
10,EUR,USD,2024-04-23,1.09
11,EUR,CHF,2024-04-24,0.95
12,EUR,GBP,2024-04-24,0.85
13,EUR,JPY,2024-04-24,162.77
14,EUR,MXN,2024-04-24,18.63
15,EUR,USD,2024-04-24,1.08
16,EUR,CHF,2024-04-25,0.95
17,EUR,GBP,2024-04-25,0.85
18,EUR,JPY,2024-04-25,162.93
19,EUR,MXN,2024-04-25,18.71
20,EUR,USD,2024-04-25,1.08
21,EUR,CHF,2024-04-26,0.95
22,EUR,GBP,2024-04-26,0.85
23,EUR,JPY,2024-04-26,162.15
24,EUR,MXN,2024-04-26,18.84
25,EUR,USD,2024-04-26,1.08
26,EUR,CHF,2024-04-29,0.95
27,EUR,GBP,2024-04-29,0.84
28,EUR,JPY,2024-04-29,161.66
29,EUR,MXN,2024-04-29,18.87
30,EUR,USD,2024-04-29,1.08
31,EUR,CHF,2024-04-30,0.95
32,EUR,GBP,2024-04-30,0.84
33,EUR,JPY,2024-04-30,162.27
34,EUR,MXN,2024-04-30,18.81
35,EUR,USD,2024-04-30,1.07
36,EUR,CHF,2024-05-01,0.95
37,EUR,GBP,2024-05-01,0.84
38,EUR,JPY,2024-05-01,161.97
39,EUR,MXN,2024-05-01,18.63
40,EUR,USD,2024-05-01,1.07
41,EUR,CHF,2024-05-02,0.95
42,EUR,GBP,2024-05-02,0.83
43,EUR,JPY,2024-05-02,161.52
44,EUR,MXN,2024-05-02,18.62
45,EUR,USD,2024-05-02,1.08
46,EUR,CHF,2024-05-03,0.94
47,EUR,GBP,2024-05-03,0.83
48,EUR,JPY,2024-05-03,161.14
49,EUR,MXN,2024-05-03,18.63
50,EUR,USD,2024-05-03,1.08
51,EUR,CHF,2024-05-06,0.94
52,EUR,GBP,2024-05-06,0.82
53,EUR,JPY,2024-05-06,161.59
54,EUR,MXN,2024-05-06,18.61
55,EUR,USD,2024-05-06,1.09
56,EUR,CHF,2024-05-07,0.94
57,EUR,GBP,2024-05-07,0.82
58,EUR,JPY,2024-05-07,162.35
59,EUR,MXN,2024-05-07,18.64
60,EUR,USD,2024-05-07,1.08
61,EUR,CHF,2024-05-08,0.93
62,EUR,GBP,2024-05-08,0.82
63,EUR,JPY,2024-05-08,161.51
64,EUR,MXN,2024-05-08,18.67
65,EUR,USD,2024-05-08,1.09
66,EUR,CHF,2024-05-09,0.93
67,EUR,GBP,2024-05-09,0.82
68,EUR,JPY,2024-05-09,161.18
69,EUR,MXN,2024-05-09,18.72
70,EUR,USD,2024-05-09,1.09
71,EUR,CHF,2024-05-10,0.93
72,EUR,GBP,2024-05-10,0.82
73,EUR,JPY,2024-05-10,161.41
74,EUR,MXN,2024-05-10,18.66
75,EUR,USD,2024-05-10,1.09
76,EUR,CHF,2024-05-13,0.93
77,EUR,GBP,2024-05-13,0.82
78,EUR,JPY,2024-05-13,161.71
79,EUR,MXN,2024-05-13,18.61
80,EUR,USD,2024-05-13,1.10
81,EUR,CHF,2024-05-14,0.93
82,EUR,GBP,2024-05-14,0.82
83,EUR,JPY,2024-05-14,161.64
84,EUR,MXN,2024-05-14,18.52
85,EUR,USD,2024-05-14,1.09
86,EUR,CHF,2024-05-15,0.93
87,EUR,GBP,2024-05-15,0.83
88,EUR,JPY,2024-05-15,161.89
89,EUR,MXN,2024-05-15,18.55
90,EUR,USD,2024-05-15,1.09
91,EUR,CHF,2024-05-16,0.93
92,EUR,GBP,2024-05-16,0.83
93,EUR,JPY,2024-05-16,160.97
94,EUR,MXN,2024-05-16,18.53
95,EUR,USD,2024-05-16,1.09
96,EUR,CHF,2024-05-17,0.93
97,EUR,GBP,2024-05-17,0.84
98,EUR,JPY,2024-05-17,160.57
99,EUR,MXN,2024-05-17,18.61
100,EUR,USD,2024-05-17,1.08
101,EUR,CHF,2024-05-20,0.94
102,EUR,GBP,2024-05-20,0.83
103,EUR,JPY,2024-05-20,161.00
104,EUR,MXN,2024-05-20,18.63
105,EUR,USD,2024-05-20,1.08
106,EUR,CHF,2024-05-21,0.93
107,EUR,GBP,2024-05-21,0.84
108,EUR,JPY,2024-05-21,161.41
109,EUR,MXN,2024-05-21,18.52
110,EUR,USD,2024-05-21,1.08
111,EUR,CHF,2024-05-22,0.93
112,EUR,GBP,2024-05-22,0.84
113,EUR,JPY,2024-05-22,161.49
114,EUR,MXN,2024-05-22,18.56
115,EUR,USD,2024-05-22,1.08
116,EUR,CHF,2024-05-23,0.93
117,EUR,GBP,2024-05-23,0.84
118,EUR,JPY,2024-05-23,162.89
119,EUR,MXN,2024-05-23,18.55
120,EUR,USD,2024-05-23,1.09
121,EUR,CHF,2024-05-24,0.93
122,EUR,GBP,2024-05-24,0.84
123,EUR,JPY,2024-05-24,162.63
124,EUR,MXN,2024-05-24,18.56
125,EUR,USD,2024-05-24,1.09
126,EUR,CHF,2024-05-27,0.93
