id,loan_id,instalment_number,due_date,paid_date,payment_amount,interest_amount,principal_amount,balance_after
1,1,1,2024-11-01,2024-11-01,1023.99,545.68,478.31,257321.69
2,1,2,2024-12-01,2024-12-01,1023.99,544.66,479.33,256842.36
3,1,3,2025-01-01,2025-01-01,1023.99,543.65,480.34,256362.02
4,1,4,2025-02-01,2025-02-01,1023.99,542.63,481.36,255880.66
5,1,5,2025-03-01,2025-03-01,1023.99,541.61,482.38,255398.28
6,1,6,2025-04-01,2025-04-01,1023.99,540.59,483.40,254914.88
7,1,7,2025-05-01,2025-05-01,1023.99,539.57,484.42,254430.46
8,1,8,2025-06-01,2025-06-01,1023.99,538.54,485.45,253945.01
9,2,1,2023-11-01,2023-11-01,486.44,96.49,389.95,20510.05
10,2,2,2023-12-01,2023-12-01,486.44,94.69,391.75,20118.30
11,2,3,2024-01-01,2024-01-01,486.44,92.88,393.56,19724.74
12,2,4,2024-02-01,2024-02-01,486.44,91.06,395.38,19329.36
13,2,5,2024-03-01,2024-03-11,486.44,89.24,397.20,18932.16
14,2,6,2024-04-01,2024-04-01,486.44,87.40,399.04,18533.12
15,2,7,2024-05-01,2024-05-01,486.44,85.56,400.88,18132.24
16,2,8,2024-06-01,2024-06-01,486.44,83.71,402.73,17729.51
17,2,9,2024-07-01,2024-07-01,486.44,81.85,404.59,17324.92
18,2,10,2024-08-01,2024-08-01,486.44,79.98,406.46,16918.46
19,2,11,2024-09-01,2024-09-01,486.44,78.11,408.33,16510.13
20,2,12,2024-10-01,2024-10-01,486.44,76.22,410.22,16099.91
21,2,13,2024-11-01,2024-11-01,486.44,74.33,412.11,15687.80
22,2,14,2024-12-01,2024-12-01,486.44,72.43,414.01,15273.79
23,2,15,2025-01-01,2025-01-01,486.44,70.51,415.93,14857.86
24,2,16,2025-02-01,2025-02-01,486.44,68.59,417.85,14440.01
25,2,17,2025-03-01,2025-03-01,486.44,66.66,419.78,14020.23
26,2,18,2025-04-01,2025-04-01,486.44,64.73,421.71,13598.52
27,2,19,2025-05-01,2025-05-01,486.44,62.78,423.66,13174.86
28,2,20,2025-06-01,2025-06-01,486.44,60.82,425.62,12749.24
29,3,1,2021-01-01,2021-01-01,130.56,29.38,101.18,6798.82
30,3,2,2021-02-01,2021-02-01,130.56,28.95,101.61,6697.21
31,3,3,2021-03-01,2021-03-01,130.56,28.52,102.04,6595.17
32,3,4,2021-04-01,2021-04-01,130.56,28.08,102.48,6492.69
33,3,5,2021-05-01,2021-05-01,130.56,27.65,102.91,6389.78
34,3,6,2021-06-01,2021-06-01,130.56,27.21,103.35,6286.43
35,3,7,2021-07-01,2021-07-06,130.56,26.77,103.79,6182.64
36,3,8,2021-08-01,2021-08-01,130.56,26.33,104.23,6078.41
37,3,9,2021-09-01,2021-09-01,130.56,25.88,104.68,5973.73
38,3,10,2021-10-01,2021-10-01,130.56,25.44,105.12,5868.61
39,3,11,2021-11-01,2021-11-01,130.56,24.99,105.57,5763.04
40,3,12,2021-12-01,2021-12-01,130.56,24.54,106.02,5657.02
41,3,13,2022-01-01,2022-01-01,130.56,24.09,106.47,5550.55
42,3,14,2022-02-01,2022-02-01,130.56,23.64,106.92,5443.63
43,3,15,2022-03-01,2022-03-01,130.56,23.18,107.38,5336.25
44,3,16,2022-04-01,,130.56,22.72,107.84,5228.41
45,3,17,2022-05-01,,130.56,22.26,108.30,5120.11
46,3,18,2022-06-01,,130.56,21.80,108.76,5011.35
47,4,1,2019-05-01,2019-05-11,506.76,65.73,441.03,16558.97
48,4,2,2019-06-01,2019-06-01,506.76,64.03,442.73,16116.24
49,4,3,2019-07-01,2019-07-01,506.76,62.32,444.44,15671.80
50,4,4,2019-08-01,2019-08-01,506.76,60.60,446.16,15225.64
51,4,5,2019-09-01,2019-09-01,506.76,58.87,447.89,14777.75
52,4,6,2019-10-01,2019-10-01,506.76,57.14,449.62,14328.13
53,4,7,2019-11-01,2019-11-11,506.76,55.40,451.36,13876.77
54,4,8,2019-12-01,2019-12-01,506.76,53.66,453.10,13423.67
55,4,9,2020-01-01,2020-01-01,506.76,51.90,454.86,12968.81
56,4,10,2020-02-01,2020-02-01,506.76,50.15,456.61,12512.20
57,4,11,2020-03-01,2020-03-01,506.76,48.38,458.38,12053.82
58,4,12,2020-04-01,2020-04-02,506.76,46.61,460.15,11593.67
59,4,13,2020-05-01,2020-05-01,506.76,44.83,461.93,11131.74
60,4,14,2020-06-01,2020-06-01,506.76,43.04,463.72,10668.02
61,4,15,2020-07-01,2020-07-01,506.76,41.25,465.51,10202.51
62,4,16,2020-08-01,2020-08-13,506.76,39.45,467.31,9735.20
63,4,17,2020-09-01,2020-09-01,506.76,37.64,469.12,9266.08
64,4,18,2020-10-01,2020-10-01,506.76,35.83,470.93,8795.15
65,4,19,2020-11-01,2020-11-01,506.76,34.01,472.75,8322.40
66,4,20,2020-12-01,2020-12-01,506.76,32.18,474.58,7847.82
67,4,21,2021-01-01,2021-01-01,506.76,30.34,476.42,7371.40
68,4,22,2021-02-01,2021-02-01,506.76,28.50,478.26,6893.14
69,4,23,2021-03-01,2021-03-01,506.76,26.65,480.11,6413.03
70,4,24,2021-04-01,2021-04-01,506.76,24.80,481.96,5931.07
71,4,25,2021-05-01,2021-05-01,506.76,22.93,483.83,5447.24
72,4,26,2021-06-01,2021-06-01,506.76,21.06,485.70,4961.54
73,4,27,2021-07-01,2021-07-01,506.76,19.18,487.58,4473.96
74,4,28,2021-08-01,2021-08-01,506.76,17.30,489.46,3984.50
75,4,29,2021-09-01,2021-09-13,506.76,15.41,491.35,3493.15
76,4,30,2021-10-01,2021-10-01,506.76,13.51,493.25,2999.90
77,4,31,2021-11-01,2021-11-01,506.76,11.60,495.16,2504.74
78,4,32,2021-12-01,2021-12-02,506.76,9.68,497.08,2007.66
79,4,33,2022-01-01,2022-01-01,506.76,7.76,499.00,1508.66
80,4,34,2022-02-01,2022-02-01,506.76,5.83,500.93,1007.73
81,4,35,2022-03-01,2022-03-01,506.76,3.90,502.86,504.87
82,4,36,2022-04-01,2022-04-01,506.82,1.95,504.87,0.00
83,5,1,2021-05-01,2021-05-01,889.17,86.36,802.81,9297.19
84,5,2,2021-06-01,2021-06-01,889.17,79.49,809.68,8487.51
85,5,3,2021-07-01,2021-07-01,889.17,72.57,816.60,7670.91
86,5,4,2021-08-01,2021-08-01,889.17,65.59,823.58,6847.33
87,5,5,2021-09-01,2021-09-01,889.17,58.54,830.63,6016.70
88,5,6,2021-10-01,2021-10-01,889.17,51.44,837.73,5178.97
89,5,7,2021-11-01,2021-11-01,889.17,44.28,844.89,4334.08
90,5,8,2021-12-01,2021-12-01,889.17,37.06,852.11,3481.97
91,5,9,2022-01-01,2022-01-01,889.17,29.77,859.40,2622.57
92,5,10,2022-02-01,2022-02-01,889.17,22.42,866.75,1755.82
93,5,11,2022-03-01,2022-03-01,889.17,15.01,874.16,881.66
94,5,12,2022-04-01,2022-04-01,889.20,7.54,881.66,0.00
95,6,1,2024-07-01,2024-07-01,412.75,189.63,223.12,25576.88
96,6,2,2024-08-01,2024-08-01,412.75,187.99,224.76,25352.12
97,6,3,2024-09-01,2024-09-01,412.75,186.34,226.41,25125.71
98,6,4,2024-10-01,2024-10-01,412.75,184.67,228.08,24897.63
99,6,5,2024-11-01,2024-11-01,412.75,183.00,229.75,24667.88
100,6,6,2024-12-01,2024-12-01,412.75,181.31,231.44,24436.44
101,6,7,2025-01-01,2025-01-01,412.75,179.61,233.14,24203.30
102,6,8,2025-02-01,2025-02-01,412.75,177.89,234.86,23968.44
103,6,9,2025-03-01,2025-03-01,412.75,176.17,236.58,23731.86
104,6,10,2025-04-01,2025-04-01,412.75,174.43,238.32,23493.54
105,6,11,2025-05-01,2025-05-01,412.75,172.68,240.07,23253.47
106,6,12,2025-06-01,2025-06-01,412.75,170.91,241.84,23011.63
107,7,1,2019-10-01,2019-10-01,1949.61,1408.48,541.13,394358.87
108,7,2,2019-11-01,2019-11-01,1949.61,1406.55,543.06,393815.81
109,7,3,2019-12-01,2019-12-01,1949.61,1404.61,545.00,393270.81
110,7,4,2020-01-01,2020-01-01,1949.61,1402.67,546.94,392723.87
111,7,5,2020-02-01,2020-02-01,1949.61,1400.72,548.89,392174.98
112,7,6,2020-03-01,2020-03-01,1949.61,1398.76,550.85,391624.13
113,7,7,2020-04-01,2020-04-01,1949.61,1396.79,552.82,391071.31
114,7,8,2020-05-01,2020-05-01,1949.61,1394.82,554.79,390516.52
115,7,9,2020-06-01,2020-06-01,1949.61,1392.84,556.77,389959.75
116,7,10,2020-07-01,2020-07-01,1949.61,1390.86,558.75,389401.00
117,7,11,2020-08-01,2020-08-01,1949.61,1388.86,560.75,388840.25
118,7,12,2020-09-01,2020-09-11,1949.61,1386.86,562.75,388277.50
119,7,13,2020-10-01,2020-10-12,1949.61,1384.86,564.75,387712.75
120,7,14,2020-11-01,2020-11-01,1949.61,1382.84,566.77,387145.98
121,7,15,2020-12-01,2020-12-01,1949.61,1380.82,568.79,386577.19
122,7,16,2021-01-01,2021-01-01,1949.61,1378.79,570.82,386006.37
123,7,17,2021-02-01,2021-02-01,1949.61,1376.76,572.85,385433.52
124,7,18,2021-03-01,2021-03-01,1949.61,1374.71,574.90,384858.62
125,7,19,2021-04-01,2021-04-11,1949.61,1372.66,576.95,384281.67
126,7,20,2021-05-01,2021-05-01,1949.61,1370.60,579.01,383702.66
127,7,21,2021-06-01,2021-06-01,1949.61,1368.54,581.07,383121.59
128,7,22,2021-07-01,2021-07-01,1949.61,1366.47,583.14,382538.45
129,7,23,2021-08-01,2021-08-01,1949.61,1364.39,585.22,381953.23
130,7,24,2021-09-01,2021-09-01,1949.61,1362.30,587.31,381365.92
131,7,25,2021-10-01,2021-10-01,1949.61,1360.21,589.40,380776.52
132,7,26,2021-11-01,2021-11-01,1949.61,1358.10,591.51,380185.01
133,7,27,2021-12-01,2021-12-01,1949.61,1355.99,593.62,379591.39
134,7,28,2022-01-01,2022-01-13,1949.61,1353.88,595.73,378995.66
135,7,29,2022-02-01,2022-02-01,1949.61,1351.75,597.86,378397.80
136,7,30,2022-03-01,2022-03-01,1949.61,1349.62,599.99,377797.81
137,7,31,2022-04-01,2022-04-01,1949.61,1347.48,602.13,377195.68
138,7,32,2022-05-01,2022-05-01,1949.61,1345.33,604.28,376591.40
139,7,33,2022-06-01,2022-06-10,1949.61,1343.18,606.43,375984.97
140,7,34,2022-07-01,2022-07-01,1949.61,1341.01,608.60,375376.37
141,7,35,2022-08-01,2022-08-01,1949.61,1338.84,610.77,374765.60
142,7,36,2022-09-01,2022-09-01,1949.61,1336.66,612.95,374152.65
143,7,37,2022-10-01,2022-10-01,1949.61,1334.48,615.13,373537.52
144,7,38,2022-11-01,2022-11-01,1949.61,1332.28,617.33,372920.19
145,7,39,2022-12-01,2022-12-01,1949.61,1330.08,619.53,372300.66
146,7,40,2023-01-01,2023-01-01,1949.61,1327.87,621.74,371678.92
147,7,41,2023-02-01,2023-02-01,1949.61,1325.65,623.96,371054.96
148,7,42,2023-03-01,2023-03-02,1949.61,1323.43,626.18,370428.78
149,7,43,2023-04-01,2023-04-01,1949.61,1321.20,628.41,369800.37
150,7,44,2023-05-01,2023-05-07,1949.61,1318.95,630.66,369169.71
151,7,45,2023-06-01,2023-06-01,1949.61,1316.71,632.90,368536.81
152,7,46,2023-07-01,2023-07-01,1949.61,1314.45,635.16,367901.65
153,7,47,2023-08-01,2023-08-01,1949.61,1312.18,637.43,367264.22
154,7,48,2023-09-01,2023-09-01,1949.61,1309.91,639.70,366624.52
155,7,49,2023-10-01,2023-10-01,1949.61,1307.63,641.98,365982.54
156,7,50,2023-11-01,2023-11-07,1949.61,1305.34,644.27,365338.27
157,7,51,2023-12-01,2023-12-01,1949.61,1303.04,646.57,364691.70
158,7,52,2024-01-01,2024-01-01,1949.61,1300.73,648.88,364042.82
159,7,53,2024-02-01,2024-02-11,1949.61,1298.42,651.19,363391.63
160,7,54,2024-03-01,2024-03-01,1949.61,1296.10,653.51,362738.12
161,7,55,2024-04-01,2024-04-01,1949.61,1293.77,655.84,362082.28
162,7,56,2024-05-01,2024-05-01,1949.61,1291.43,658.18,361424.10
163,7,57,2024-06-01,2024-06-01,1949.61,1289.08,660.53,360763.57
164,7,58,2024-07-01,2024-07-01,1949.61,1286.72,662.89,360100.68
165,7,59,2024-08-01,2024-08-01,1949.61,1284.36,665.25,359435.43
166,7,60,2024-09-01,2024-09-01,1949.61,1281.99,667.62,358767.81
167,7,61,2024-10-01,2024-10-01,1949.61,1279.61,670.00,358097.81
168,7,62,2024-11-01,2024-11-01,1949.61,1277.22,672.39,357425.42
169,7,63,2024-12-01,2024-12-01,1949.61,1274.82,674.79,356750.63
170,7,64,2025-01-01,2025-01-01,1949.61,1272.41,677.20,356073.43
171,7,65,2025-02-01,2025-02-01,1949.61,1270.00,679.61,355393.82
172,7,66,2025-03-01,2025-03-01,1949.61,1267.57,682.04,354711.78
173,7,67,2025-04-01,2025-04-01,1949.61,1265.14,684.47,354027.31
