id,loan_number,customer_id,loan_type,principal,annual_rate,term_months,monthly_payment,started_on,status
1,PRE-0000001,747,mortgage,257800.00,2.54,360,1023.99,2024-10-01,active
2,PRE-0000002,460,auto,20900.00,5.54,48,486.44,2023-10-01,active
3,PRE-0000003,660,student,6900.00,5.11,60,130.56,2020-12-01,defaulted
4,PRE-0000004,195,student,17000.00,4.64,36,506.76,2019-04-01,active
5,PRE-0000005,270,personal,10100.00,10.26,12,889.17,2021-04-01,active
6,PRE-0000006,749,auto,25800.00,8.82,84,412.75,2024-06-01,active
7,PRE-0000007,410,mortgage,394900.00,4.28,360,1949.61,2019-09-01,active
8,PRE-0000008,643,personal,20700.00,12.49,12,1843.92,2024-06-01,active
9,PRE-0000009,461,mortgage,184300.00,2.65,240,990.13,2021-12-01,active
10,PRE-0000010,552,personal,16800.00,11.05,36,550.41,2022-06-01,paid_off
11,PRE-0000011,58,auto,37300.00,8.27,36,1173.50,2019-03-01,active
12,PRE-0000012,708,auto,42200.00,7.36,72,726.79,2023-04-01,active
13,PRE-0000013,669,auto,8600.00,6.61,36,264.01,2023-12-01,active
14,PRE-0000014,519,personal,7700.00,12.14,36,256.27,2024-09-01,active
15,PRE-0000015,196,mortgage,165000.00,2.54,240,877.56,2019-06-01,defaulted
16,PRE-0000016,370,auto,44400.00,6.55,72,747.42,2021-06-01,active
17,PRE-0000017,368,personal,22900.00,8.71,48,566.72,2025-02-01,active
18,PRE-0000018,529,mortgage,327000.00,2.99,300,1548.97,2022-01-01,active
19,PRE-0000019,190,personal,13200.00,8.43,36,416.26,2024-12-01,paid_off
20,PRE-0000020,80,personal,19200.00,10.09,12,1688.79,2023-07-01,paid_off
21,PRE-0000021,259,personal,26900.00,11.53,48,702.19,2019-03-01,active
22,PRE-0000022,104,personal,4600.00,8.60,36,145.42,2020-05-01,active
23,PRE-0000023,435,personal,29400.00,12.34,48,779.13,2021-04-01,active
24,PRE-0000024,125,personal,21100.00,8.68,24,960.85,2024-01-01,active
25,PRE-0000025,552,auto,27800.00,8.97,60,576.68,2023-03-01,paid_off
