id,ticker,company_name,trade_date,open_price,high_price,low_price,close_price,volume
1,ARCD,Arcadia Telecom,2024-04-22,9.71,9.76,9.70,9.72,212008
2,BLHB,Blue Harbour Naval,2024-04-22,31.78,31.88,31.77,31.83,135351
3,CALDR,Caldera Energía,2024-04-22,18.33,18.43,18.28,18.35,223176
4,LKVW,Lakeview Alimentación,2024-04-22,12.59,12.67,12.55,12.64,211189
5,MRDN,Meridiano Industrial,2024-04-22,42.51,42.77,42.28,42.61,187126
6,NRTH,Northwind Farmacéutica,2024-04-22,87.96,89.56,87.62,88.76,177697
7,OKVL,Oakvale Construcción,2024-04-22,7.45,7.48,7.44,7.47,232256
8,PNFD,Pinefield Logística,2024-04-22,27.47,27.79,26.47,26.87,416384
9,STNB,Stonebridge Seguros,2024-04-22,55.28,57.91,54.04,56.60,533207
10,VGRE,Vega Renovables,2024-04-22,65.27,65.56,64.96,65.44,414305
11,ARCD,Arcadia Telecom,2024-04-23,9.71,9.74,9.59,9.63,225959
12,BLHB,Blue Harbour Naval,2024-04-23,31.62,31.96,30.49,31.00,463805
13,CALDR,Caldera Energía,2024-04-23,18.20,18.27,18.15,18.25,289621
14,LKVW,Lakeview Alimentación,2024-04-23,12.67,12.73,12.61,12.61,152540
15,MRDN,Meridiano Industrial,2024-04-23,42.53,42.62,42.41,42.45,145734
16,NRTH,Northwind Farmacéutica,2024-04-23,88.83,89.56,88.70,89.47,310804
17,OKVL,Oakvale Construcción,2024-04-23,7.45,7.61,7.32,7.60,268548
18,PNFD,Pinefield Logística,2024-04-23,26.69,27.75,25.77,26.34,489048
19,STNB,Stonebridge Seguros,2024-04-23,56.22,58.22,53.24,55.33,304663
20,VGRE,Vega Renovables,2024-04-23,65.93,66.72,61.38,63.46,335919
21,ARCD,Arcadia Telecom,2024-04-24,9.62,9.82,9.51,9.71,235917
22,BLHB,Blue Harbour Naval,2024-04-24,30.93,31.06,29.90,30.16,466782
23,CALDR,Caldera Energía,2024-04-24,18.12,18.71,17.80,18.57,511635
24,LKVW,Lakeview Alimentación,2024-04-24,12.66,12.81,12.16,12.37,344243
25,MRDN,Meridiano Industrial,2024-04-24,42.42,43.15,41.20,41.74,289770
26,NRTH,Northwind Farmacéutica,2024-04-24,89.46,90.13,89.24,90.08,262581
27,OKVL,Oakvale Construcción,2024-04-24,7.58,7.81,7.49,7.67,273273
28,PNFD,Pinefield Logística,2024-04-24,26.25,27.33,25.73,27.07,236637
29,STNB,Stonebridge Seguros,2024-04-24,55.37,57.10,55.33,56.04,412340
30,VGRE,Vega Renovables,2024-04-24,63.00,67.52,57.13,59.34,948597
31,ARCD,Arcadia Telecom,2024-04-25,9.79,9.90,9.71,9.72,210734
32,BLHB,Blue Harbour Naval,2024-04-25,30.02,31.00,29.68,30.86,465893
33,CALDR,Caldera Energía,2024-04-25,18.64,18.93,18.33,18.39,323980
34,LKVW,Lakeview Alimentación,2024-04-25,12.38,12.98,11.94,12.65,606467
35,MRDN,Meridiano Industrial,2024-04-25,41.94,42.04,40.18,41.15,301225
36,NRTH,Northwind Farmacéutica,2024-04-25,90.28,90.83,90.18,90.74,252220
37,OKVL,Oakvale Construcción,2024-04-25,7.68,7.72,7.62,7.64,246711
38,PNFD,Pinefield Logística,2024-04-25,26.75,28.01,26.47,27.45,287239
39,STNB,Stonebridge Seguros,2024-04-25,56.29,56.68,54.95,55.72,190583
40,VGRE,Vega Renovables,2024-04-25,59.85,60.63,58.57,59.41,212830
41,ARCD,Arcadia Telecom,2024-04-26,9.78,9.78,9.64,9.68,288627
42,BLHB,Blue Harbour Naval,2024-04-26,31.04,31.29,30.48,30.67,163696
43,CALDR,Caldera Energía,2024-04-26,18.21,18.35,18.09,18.20,356793
44,LKVW,Lakeview Alimentación,2024-04-26,12.58,12.77,12.28,12.32,311554
45,MRDN,Meridiano Industrial,2024-04-26,40.96,41.12,40.94,41.10,144770
46,NRTH,Northwind Farmacéutica,2024-04-26,90.58,90.61,90.07,90.18,194631
47,OKVL,Oakvale Construcción,2024-04-26,7.59,7.63,7.55,7.60,129821
48,PNFD,Pinefield Logística,2024-04-26,27.31,29.11,26.83,28.26,516106
49,STNB,Stonebridge Seguros,2024-04-26,55.71,56.43,55.61,55.82,224582
50,VGRE,Vega Renovables,2024-04-26,59.22,59.52,58.57,58.73,430027
51,ARCD,Arcadia Telecom,2024-04-29,9.76,9.90,9.51,9.66,197178
52,BLHB,Blue Harbour Naval,2024-04-29,30.57,30.71,30.38,30.41,247289
53,CALDR,Caldera Energía,2024-04-29,18.23,18.38,17.36,17.69,203931
54,LKVW,Lakeview Alimentación,2024-04-29,12.33,12.38,12.06,12.11,382581
55,MRDN,Meridiano Industrial,2024-04-29,40.95,41.23,40.80,40.80,218298
56,NRTH,Northwind Farmacéutica,2024-04-29,89.81,92.02,88.64,90.75,294262
57,OKVL,Oakvale Construcción,2024-04-29,7.57,7.60,7.53,7.54,210850
58,PNFD,Pinefield Logística,2024-04-29,28.13,30.32,26.59,29.60,631706
59,STNB,Stonebridge Seguros,2024-04-29,55.49,56.35,54.12,54.47,558209
60,VGRE,Vega Renovables,2024-04-29,58.07,60.69,56.40,59.89,396908
61,ARCD,Arcadia Telecom,2024-04-30,9.64,9.84,9.62,9.74,283534
62,BLHB,Blue Harbour Naval,2024-04-30,30.49,31.02,29.99,30.76,348335
