id,account_id,merchant_id,type,amount,balance_after,description,occurred_at,is_foreign
1,345,,direct_debit,-63.51,489.09,RECIBO DOMICILIADO,2023-01-01T09:22:00,false
2,184,134,card_payment,-4.47,3173.59,COMPRA BAR REAL,2023-01-01T11:10:00,false
3,1011,,transfer_in,503.67,2734.71,TRANSFERENCIA RECIBIDA,2023-01-01T19:25:00,false
4,302,,direct_debit,-11.69,2708.59,RECIBO DOMICILIADO,2023-01-01T19:36:00,false
5,1001,,direct_debit,-39.69,1545.82,RECIBO DOMICILIADO,2023-01-02T10:17:00,false
6,354,,direct_debit,-54.52,2644.81,RECIBO DOMICILIADO,2023-01-02T17:20:00,false
7,422,,direct_debit,-158.49,1748.36,RECIBO DOMICILIADO,2023-01-03T08:14:00,false
8,61,,direct_debit,-25.44,1224.44,RECIBO DOMICILIADO,2023-01-03T08:46:00,false
9,718,,direct_debit,-27.26,777.80,RECIBO DOMICILIADO,2023-01-03T10:57:00,false
10,224,,transfer_out,-20.14,1155.21,TRANSFERENCIA EMITIDA,2023-01-03T12:46:00,false
11,1011,66,card_payment,-115.41,2619.30,COMPRA ÓPTICA LA ESQUINA,2023-01-03T15:00:00,false
12,288,,direct_debit,-39.07,1834.89,RECIBO DOMICILIADO,2023-01-03T19:59:00,false
13,385,,direct_debit,-30.54,5319.47,RECIBO DOMICILIADO,2023-01-04T11:11:00,false
14,267,,direct_debit,-29.52,4291.36,RECIBO DOMICILIADO,2023-01-04T11:16:00,false
15,183,,direct_debit,-168.03,1728.13,RECIBO DOMICILIADO,2023-01-04T12:33:00,false
16,329,13,card_payment,-92.24,1305.09,COMPRA RESTAURANTE SAN MARCOS,2023-01-04T12:58:00,false
17,957,30,card_payment,-49.24,3806.52,COMPRA LA TIENDA DE BUENAVISTA,2023-01-04T13:22:00,false
18,611,,direct_debit,-45.00,1333.99,RECIBO DOMICILIADO,2023-01-04T18:09:00,false
19,232,,direct_debit,-34.61,692.30,RECIBO DOMICILIADO,2023-01-04T18:29:00,false
