id,store_id,product_id,quantity_on_hand,reorder_level,last_restocked_at
1,1,3,36,12,2025-06-27
2,1,19,29,12,2025-06-18
3,1,20,68,25,2025-06-28
4,1,22,41,10,2025-06-27
5,1,24,88,30,2025-06-10
6,1,26,32,25,2025-06-07
7,1,29,52,20,2025-06-18
8,1,33,13,15,2025-06-06
9,1,42,34,15,2025-05-18
10,1,53,27,25,2025-06-22
11,1,56,47,15,2025-06-25
12,1,58,27,10,2025-05-20
13,1,59,25,12,2025-06-14
14,1,60,32,8,2025-06-27
15,1,61,25,8,2025-06-29
16,1,64,16,8,2025-06-14
17,1,71,105,30,2025-06-11
18,1,75,88,25,2025-06-26
19,1,79,22,15,2025-05-21
20,1,80,36,10,2025-06-04
21,1,84,20,8,2025-06-28
22,1,86,29,10,2025-06-06
23,1,92,33,12,2025-06-25
24,1,96,11,8,2025-06-02
25,1,97,26,12,2025-06-22
26,1,102,75,25,2025-06-30
27,1,103,24,15,2025-06-09
28,1,109,37,20,2025-06-27
29,1,114,40,15,2025-06-29
30,1,116,34,12,2025-06-30
31,1,121,89,25,2025-06-29
32,1,125,28,8,2025-06-03
33,1,126,26,8,2025-05-22
34,1,134,27,15,2025-05-26
35,1,150,67,30,2025-06-10
36,1,152,16,10,2025-06-21
37,1,154,22,12,2025-05-29
38,1,157,19,8,2025-05-30
39,1,159,36,10,2025-05-22
40,1,161,67,25,2025-05-19
41,1,162,12,12,2025-06-29
42,1,164,64,20,2025-06-29
43,1,166,11,8,2025-06-26
44,1,168,36,25,2025-05-16
45,1,174,45,15,2025-06-27
46,1,176,38,15,2025-05-25
47,1,183,59,25,2025-06-27
48,1,184,0,20,2025-06-03
49,1,201,26,12,2025-06-29
50,1,205,9,10,2025-05-18
51,1,206,0,12,2025-06-23
52,1,210,76,25,2025-05-29
53,1,219,32,10,2025-06-30
54,1,221,18,8,2025-06-29
55,1,222,66,20,2025-06-16
56,1,227,39,15,2025-05-21
57,1,231,22,10,2025-06-28
58,1,233,40,30,2025-05-23
59,1,234,46,20,2025-06-10
60,1,242,22,25,2025-06-05
61,1,249,41,15,2025-05-31
62,1,254,21,12,2025-06-08
63,1,260,39,20,2025-06-29
64,1,263,0,12,2025-06-30
