id,sku,ean13,name,category_id,supplier_id,brand,unit,unit_price,cost_price,vat_rate,active
1,SKU-000001,8464084688516,Cuchillas de afeitar El Molinar pack 6,45,41,El Molinar,pack,12.99,11.50,0.21,true
2,SKU-000002,8467189992984,Lavavajillas a mano Doña Elena,40,21,Doña Elena,ud,1.49,1.25,0.21,true
3,SKU-000003,8413464255923,Frutos secos mezcla La Almazara,23,3,La Almazara,ud,2.95,2.53,0.10,true
4,SKU-000004,8479360553693,Servilletas Sabor de Antaño pack 12,39,14,Sabor de Antaño,pack,1.49,1.19,0.21,true
5,SKU-000005,8499968138818,Sal marina Vega Real 1kg,20,18,Vega Real,kg,0.99,0.75,0.10,true
6,SKU-000006,8484710156806,Detergente líquido Puente Viejo,37,30,Puente Viejo,ud,6.99,5.96,0.21,true
7,SKU-000007,8411991774610,Néctar de melocotón Monteclaro 1.5L,30,18,Monteclaro,L,2.50,2.03,0.21,true
8,SKU-000008,8468487664054,Gel infantil Valdehermoso,50,5,Valdehermoso,ud,2.99,2.43,0.04,true
9,SKU-000009,8426159901470,Fregasuelos Sabor de Antaño,38,19,Sabor de Antaño,ud,2.99,2.38,0.21,true
10,SKU-000010,8472019319442,Bizcocho Sabor de Antaño,22,11,Sabor de Antaño,ud,2.99,2.39,0.10,true
11,SKU-000011,8444558478713,Bombilla LED Casa Robles,56,33,Casa Robles,ud,4.95,3.91,0.21,true
12,SKU-000012,8419256617726,Galletas María Tierra Nuestra,22,25,Tierra Nuestra,ud,1.50,1.21,0.10,true
13,SKU-000013,8415374004752,Alimento para pájaros Buenamesa,53,33,Buenamesa,ud,4.75,4.05,0.21,true
14,SKU-000014,8436252599771,Cápsulas de café Monteclaro pack 4,31,12,Monteclaro,pack,7.99,7.27,0.21,true
15,SKU-000015,8442733767836,Detergente líquido Buenamesa,37,26,Buenamesa,ud,7.75,6.67,0.21,true
16,SKU-000016,8425177339913,Cepillo de dientes Los Almendros,42,38,Los Almendros,ud,2.99,2.33,0.21,true
17,SKU-000017,8446295994877,Menestra congelada Buenamesa,33,22,Buenamesa,ud,2.49,2.12,0.10,false
18,SKU-000018,8467257646924,Refresco de cola Los Almendros pack 4,27,23,Los Almendros,pack,4.49,3.54,0.21,true
19,SKU-000019,8426990478704,Vino blanco Rueda Doña Elena,29,14,Doña Elena,ud,8.99,7.71,0.21,true
20,SKU-000020,8419615605227,Zanahoria Sabor de Antaño 500g,10,37,Sabor de Antaño,kg,1.99,1.79,0.04,true
21,SKU-000021,8444575203411,Desodorante El Molinar,47,1,El Molinar,ud,2.49,1.93,0.21,true
22,SKU-000022,8497985590268,Pastillas lavavajillas Ribera Alta pack 12,40,1,Ribera Alta,pack,8.49,7.16,0.21,true
23,SKU-000023,8499739181241,Leche de continuación Origen,49,25,Origen,ud,13.99,11.52,0.04,true
24,SKU-000024,8418543554126,Bombilla LED Puente Viejo,56,29,Puente Viejo,ud,7.50,6.07,0.21,true
25,SKU-000025,8405605946807,Limpiacristales Valdehermoso,38,1,Valdehermoso,ud,2.49,2.02,0.21,true
26,SKU-000026,8484324027844,Lavavajillas a mano Monteclaro,40,15,Monteclaro,ud,1.99,1.62,0.21,true
27,SKU-000027,8452384934228,Pañales talla 3 El Molinar pack 6,48,28,El Molinar,pack,13.95,11.03,0.04,true
28,SKU-000028,8429861685225,Café molido natural La Almazara,31,30,La Almazara,ud,6.99,5.56,0.21,true
29,SKU-000029,8472794978872,Papel higiénico Casa Robles pack 4,39,18,Casa Robles,pack,3.50,2.74,0.21,true
30,SKU-000030,8477287137576,Bolsas de basura Vega Real pack 4,55,3,Vega Real,pack,1.49,0.82,0.21,true
31,SKU-000031,8469231880270,Cebolla El Molinar 500g,10,4,El Molinar,kg,1.99,1.68,0.04,true
32,SKU-000032,8429660256558,Acondicionador Los Almendros,43,35,Los Almendros,ud,3.50,2.68,0.21,true
33,SKU-000033,8469795343853,Bombilla LED Tierra Nuestra,56,9,Tierra Nuestra,ud,3.99,3.45,0.21,true
34,SKU-000034,8494965401361,Zumo de naranja Selecta 1L,30,38,Selecta,L,2.99,2.51,0.21,true
35,SKU-000035,8495146687536,Insecticida volador Valdehermoso,41,40,Valdehermoso,ud,3.99,3.32,0.21,true
36,SKU-000036,8478444004380,Cereales de desayuno Monteclaro,21,31,Monteclaro,ud,2.95,2.28,0.10,true
37,SKU-000037,8484188570159,Refresco de cola Monteclaro pack 4,27,5,Monteclaro,pack,5.99,4.93,0.21,true
38,SKU-000038,8436946305466,Pienso para perro Campo Sur 1kg,51,10,Campo Sur,kg,3.99,3.27,0.21,true
39,SKU-000039,8410215212532,Pilas AA Casa Robles pack 4,55,9,Casa Robles,pack,5.99,3.67,0.21,true
40,SKU-000040,8490722555292,Café molido natural Monteclaro,31,12,Monteclaro,ud,3.99,3.50,0.21,true
41,SKU-000041,8405869585545,Pizza congelada Monteclaro,36,39,Monteclaro,ud,4.75,3.63,0.10,true
42,SKU-000042,8423668335383,Sartén antiadherente Doña Elena,54,27,Doña Elena,ud,14.99,9.74,0.21,true
43,SKU-000043,8411998881397,Guisantes congelados Puente Viejo,33,36,Puente Viejo,ud,1.95,1.54,0.10,true
44,SKU-000044,8430574820223,Gel de ducha Valdehermoso,44,8,Valdehermoso,ud,3.99,3.25,0.21,true
45,SKU-000045,8415030229574,Refresco de cola Sabor de Antaño pack 4,27,28,Sabor de Antaño,pack,4.99,4.36,0.21,true
46,SKU-000046,8409678230573,Filete de ternera Monteclaro 500g,11,11,Monteclaro,kg,15.99,14.30,0.04,true
47,SKU-000047,8434276851455,Miel Buenamesa,25,13,Buenamesa,ud,5.99,4.56,0.10,false
48,SKU-000048,8465498909044,Espuma de afeitar El Molinar,45,4,El Molinar,ud,1.95,1.75,0.21,true
49,SKU-000049,8420338266220,Snacks para perro Sabor de Antaño,51,13,Sabor de Antaño,ud,3.99,3.32,0.21,true
50,SKU-000050,8457095490841,Gel de ducha Ribera Alta,44,36,Ribera Alta,ud,2.25,1.85,0.21,false
51,SKU-000051,8452610933889,Bolsas de basura Sabor de Antaño pack 12,55,50,Sabor de Antaño,pack,3.99,2.39,0.21,true
52,SKU-000052,8459233870744,Huevos frescos M Los Almendros pack 12,16,49,Los Almendros,pack,2.95,2.43,0.04,true
53,SKU-000053,8471822338800,Aceitunas rellenas Doña Elena,23,34,Doña Elena,ud,2.99,2.35,0.10,true
54,SKU-000054,8440608145666,Insecticida volador Vega Real,41,21,Vega Real,ud,5.50,5.01,0.21,true
55,SKU-000055,8467368240486,Jamón serrano lonchas Valdehermoso,13,21,Valdehermoso,ud,5.49,4.56,0.04,true
56,SKU-000056,8431099459813,Espaguetis El Molinar,17,50,El Molinar,ud,1.95,1.68,0.10,true
57,SKU-000057,8405885050089,Ginebra Valdehermoso,32,11,Valdehermoso,ud,18.00,14.35,0.21,true
58,SKU-000058,8472160530666,Acondicionador Tierra Nuestra,43,9,Tierra Nuestra,ud,2.99,2.60,0.21,true
59,SKU-000059,8466985563220,Menestra congelada Campo Sur,33,3,Campo Sur,ud,1.99,1.63,0.10,true
60,SKU-000060,8423016132527,Protegeslips El Molinar pack 6,46,11,El Molinar,pack,1.99,1.44,0.21,true
61,SKU-000061,8416317978857,Queso curado cuña El Molinar,13,26,El Molinar,ud,4.99,4.69,0.04,true
62,SKU-000062,8433488042187,Tónica Monteclaro pack 6,27,32,Monteclaro,pack,5.99,5.24,0.21,true
63,SKU-000063,8455781575087,Aceitunas rellenas Monteclaro,23,6,Monteclaro,ud,2.95,2.43,0.10,true
64,SKU-000064,8478396218576,Insecticida volador Ribera Alta,41,11,Ribera Alta,ud,4.99,4.00,0.21,true
65,SKU-000065,8467800465187,Leche de continuación La Almazara,49,26,La Almazara,ud,10.49,8.58,0.04,true
