id,product_id,type,discount_percent,starts_on,ends_on
1,104,percentage,40.00,2023-09-26,2023-11-07
2,377,fixed_discount,40.00,2023-09-25,2023-11-06
3,168,percentage,50.00,2025-01-09,2025-01-23
4,159,second_unit_half_price,25.00,2023-05-07,2023-05-14
5,82,three_for_two,33.00,2023-05-13,2023-06-03
6,261,percentage,15.00,2024-01-15,2024-01-22
7,419,second_unit_half_price,25.00,2023-04-26,2023-05-03
8,485,percentage,10.00,2023-08-20,2023-09-17
9,543,second_unit_half_price,25.00,2024-05-07,2024-05-21
10,163,second_unit_half_price,25.00,2024-05-20,2024-06-03
11,454,second_unit_half_price,25.00,2025-01-01,2025-01-08
12,325,percentage,15.00,2023-02-15,2023-02-22
13,177,three_for_two,33.00,2025-02-16,2025-02-23
14,419,percentage,15.00,2024-12-01,2024-12-08
15,181,percentage,20.00,2024-06-01,2024-06-22
16,223,three_for_two,33.00,2024-06-30,2024-07-14
17,542,percentage,50.00,2024-11-12,2024-11-19
18,441,percentage,15.00,2023-11-15,2023-12-06
19,173,percentage,30.00,2024-05-13,2024-06-10
20,353,three_for_two,33.00,2023-11-28,2024-01-09
21,557,second_unit_half_price,25.00,2024-08-30,2024-09-06
22,187,fixed_discount,20.00,2024-01-21,2024-02-11
23,197,percentage,20.00,2025-05-25,2025-06-08
24,424,second_unit_half_price,25.00,2023-12-15,2023-12-22
25,435,percentage,40.00,2023-10-22,2023-10-29
26,122,percentage,25.00,2024-09-28,2024-10-19
27,157,fixed_discount,15.00,2024-11-18,2024-12-02
28,213,fixed_discount,10.00,2025-04-21,2025-06-02
29,488,percentage,15.00,2024-10-07,2024-10-14
30,206,percentage,15.00,2023-08-13,2023-09-10
31,573,percentage,30.00,2023-06-03,2023-06-10
32,466,percentage,30.00,2024-03-05,2024-03-12
33,128,fixed_discount,10.00,2025-01-31,2025-02-21
34,9,three_for_two,33.00,2023-07-22,2023-09-02
35,417,second_unit_half_price,25.00,2023-11-02,2023-12-14
36,192,fixed_discount,15.00,2025-05-28,2025-06-25
37,156,three_for_two,33.00,2024-02-16,2024-02-23
38,206,percentage,30.00,2023-02-23,2023-03-23
39,151,percentage,10.00,2023-05-06,2023-06-03
40,55,percentage,30.00,2023-07-08,2023-07-29
41,564,three_for_two,33.00,2023-07-03,2023-07-10
42,91,percentage,5.00,2024-11-22,2024-12-20
43,382,percentage,50.00,2023-10-01,2023-10-29
44,4,second_unit_half_price,25.00,2025-06-03,2025-06-24
45,391,three_for_two,33.00,2023-10-02,2023-10-23
46,246,percentage,25.00,2024-05-11,2024-06-01
47,391,second_unit_half_price,25.00,2024-06-23,2024-07-07
48,365,percentage,30.00,2024-08-22,2024-09-12
49,407,percentage,20.00,2023-08-12,2023-08-19
50,114,three_for_two,33.00,2023-12-17,2023-12-24
51,74,percentage,25.00,2023-12-13,2023-12-27
52,539,percentage,5.00,2024-12-16,2024-12-23
53,539,percentage,15.00,2024-03-05,2024-04-02
54,86,second_unit_half_price,25.00,2024-05-05,2024-05-26
55,153,percentage,50.00,2023-10-19,2023-11-30
56,332,fixed_discount,30.00,2024-03-27,2024-04-24
57,262,three_for_two,33.00,2023-12-11,2023-12-18
58,552,percentage,15.00,2023-05-13,2023-05-27
59,247,percentage,20.00,2023-05-21,2023-07-02
60,148,percentage,40.00,2025-02-12,2025-03-12
61,274,percentage,5.00,2023-02-23,2023-04-06
62,170,percentage,5.00,2023-09-13,2023-10-11
63,531,second_unit_half_price,25.00,2023-01-13,2023-02-03
64,207,percentage,20.00,2024-04-24,2024-05-22
65,123,percentage,20.00,2023-11-11,2023-11-25
66,116,three_for_two,33.00,2024-01-07,2024-02-18
67,443,second_unit_half_price,25.00,2025-04-08,2025-04-22
68,103,percentage,25.00,2024-12-14,2024-12-28
69,112,percentage,30.00,2023-01-26,2023-02-23
70,14,percentage,40.00,2023-09-29,2023-10-20
71,451,percentage,25.00,2024-09-18,2024-09-25
72,353,three_for_two,33.00,2024-10-02,2024-10-09
73,498,percentage,20.00,2025-02-25,2025-04-08
74,493,three_for_two,33.00,2023-11-17,2023-12-29
75,75,percentage,20.00,2025-05-16,2025-05-30
76,571,second_unit_half_price,25.00,2025-02-21,2025-03-07
77,394,second_unit_half_price,25.00,2023-08-01,2023-08-22
78,71,percentage,20.00,2023-01-06,2023-02-17
79,429,three_for_two,33.00,2023-04-21,2023-05-12
80,226,second_unit_half_price,25.00,2024-12-23,2025-01-06
81,590,second_unit_half_price,25.00,2023-07-30,2023-08-06
82,546,percentage,30.00,2024-06-28,2024-07-26
83,119,three_for_two,33.00,2023-08-21,2023-08-28
84,40,percentage,50.00,2023-08-10,2023-09-21
85,49,percentage,10.00,2025-03-06,2025-03-13
86,408,three_for_two,33.00,2023-02-16,2023-02-23
87,397,percentage,30.00,2023-12-14,2024-01-04
88,215,percentage,20.00,2023-08-01,2023-08-08
89,301,second_unit_half_price,25.00,2025-05-25,2025-06-15
90,155,percentage,20.00,2024-05-31,2024-06-28
