id,transaction_id,line_number,product_id,quantity,unit_price,discount_percent,vat_rate,line_total
1,1,1,218,4.00,2.95,0.00,0.10,11.80
2,1,2,156,1.00,6.99,0.00,0.21,6.99
3,2,1,427,3.00,6.95,0.00,0.21,20.85
4,2,2,36,1.00,2.95,0.00,0.10,2.95
5,3,1,297,2.00,10.95,0.00,0.21,21.90
6,4,1,565,2.00,22.99,0.00,0.21,45.98
7,4,2,551,1.00,3.50,0.00,0.21,3.50
8,4,3,512,2.00,2.49,0.00,0.04,4.98
9,4,4,176,1.00,1.49,0.00,0.10,1.49
10,4,5,330,1.00,11.75,0.00,0.04,11.75
11,4,6,517,1.71,3.99,0.00,0.21,6.82
12,4,7,529,1.00,5.49,0.00,0.10,5.49
13,5,1,454,1.00,1.99,0.00,0.10,1.99
14,6,1,562,1.00,3.95,0.00,0.21,3.95
15,6,2,80,2.00,2.95,0.00,0.10,5.90
16,7,1,528,3.00,2.99,0.00,0.10,8.97
17,7,2,212,6.00,17.99,0.00,0.04,107.94
18,8,1,222,2.00,2.75,0.00,0.10,5.50
19,9,1,528,1.00,2.99,0.00,0.10,2.99
20,9,2,117,2.00,2.99,0.00,0.21,5.98
21,9,3,348,2.00,3.00,0.00,0.21,6.00
22,10,1,328,1.00,2.99,0.00,0.04,2.99
23,10,2,109,1.00,0.99,0.00,0.04,0.99
24,10,3,446,1.00,1.25,0.00,0.04,1.25
25,10,4,46,2.40,15.99,0.00,0.04,38.38
26,10,5,559,1.00,4.99,0.00,0.10,4.99
27,10,6,34,1.00,2.99,0.00,0.21,2.99
28,10,7,505,1.00,3.95,0.00,0.21,3.95
29,10,8,95,3.00,1.99,0.00,0.10,5.97
30,10,9,391,3.00,2.99,0.00,0.04,8.97
31,10,10,263,2.00,2.49,0.00,0.04,4.98
32,10,11,142,2.33,4.49,0.00,0.04,10.46
33,10,12,98,3.00,1.49,0.00,0.21,4.47
34,10,13,190,1.00,3.95,0.00,0.21,3.95
35,10,14,594,2.36,10.99,0.00,0.04,25.94
36,10,15,68,1.00,3.49,0.00,0.21,3.49
37,10,16,518,1.00,2.95,0.00,0.04,2.95
38,10,17,436,1.00,4.99,0.00,0.04,4.99
39,10,18,473,1.00,1.25,0.00,0.10,1.25
40,10,19,569,1.00,2.95,0.00,0.21,2.95
41,10,20,63,1.00,2.95,0.00,0.10,2.95
42,10,21,484,1.00,1.99,0.00,0.04,1.99
43,10,22,122,1.00,2.95,0.00,0.04,2.95
44,11,1,568,1.00,2.99,0.00,0.04,2.99
45,11,2,101,2.00,2.99,0.00,0.04,5.98
46,12,1,77,1.00,1.00,0.00,0.10,1.00
47,13,1,171,1.00,1.49,0.00,0.10,1.49
48,13,2,163,1.00,3.25,0.00,0.21,3.25
49,13,3,359,3.00,3.99,0.00,0.04,11.97
50,13,4,596,1.00,5.95,0.00,0.21,5.95
51,14,1,193,3.00,1.99,0.00,0.10,5.97
52,15,1,21,1.00,2.49,0.00,0.21,2.49
53,16,1,297,1.00,10.95,0.00,0.21,10.95
54,16,2,39,2.00,5.99,0.00,0.21,11.98
55,16,3,319,2.00,2.50,0.00,0.10,5.00
56,16,4,368,2.00,2.99,0.00,0.10,5.98
57,16,5,158,1.00,3.99,0.00,0.21,3.99
58,16,6,238,4.00,2.49,0.00,0.21,9.96
59,16,7,396,1.00,0.99,0.00,0.21,0.99
60,16,8,505,1.00,3.95,0.00,0.21,3.95
61,16,9,280,1.00,1.75,0.00,0.10,1.75
62,17,1,509,1.00,2.99,0.00,0.04,2.99
63,18,1,388,2.40,1.99,0.00,0.10,4.78
64,19,1,340,1.00,11.00,0.00,0.10,11.00
65,20,1,575,2.00,8.99,0.00,0.21,17.98
66,20,2,285,1.00,9.99,0.00,0.21,9.99
67,20,3,108,1.00,3.95,0.00,0.21,3.95
68,21,1,58,4.00,2.99,0.00,0.21,11.96
69,22,1,457,1.00,10.99,0.00,0.10,10.99
70,22,2,151,2.00,1.95,0.00,0.04,3.90
71,22,3,209,1.00,6.75,0.00,0.21,6.75
72,22,4,249,1.00,3.99,0.00,0.21,3.99
73,22,5,470,2.00,6.25,0.00,0.21,12.50
74,22,6,511,1.00,1.99,0.00,0.10,1.99
75,22,7,143,1.08,9.95,0.00,0.04,10.75
76,22,8,18,2.00,4.49,0.00,0.21,8.98
77,22,9,311,1.00,3.49,0.00,0.10,3.49
78,22,10,264,1.00,1.99,0.00,0.10,1.99
79,22,11,74,1.00,3.99,0.00,0.21,3.99
80,22,12,537,3.00,5.95,0.00,0.21,17.85
81,23,1,354,2.00,3.49,0.00,0.21,6.98
82,23,2,91,1.95,3.49,0.00,0.21,6.81
83,24,1,459,1.00,2.99,0.00,0.21,2.99
84,25,1,428,1.00,12.99,0.00,0.21,12.99
85,26,1,243,1.00,1.49,0.00,0.21,1.49
86,26,2,172,1.00,14.50,0.00,0.21,14.50
87,26,3,497,2.00,1.99,0.00,0.10,3.98
88,26,4,98,1.00,1.49,0.00,0.21,1.49
89,26,5,325,1.00,1.50,0.00,0.21,1.50
90,26,6,414,2.00,4.00,0.00,0.10,8.00
91,27,1,197,1.95,5.95,0.00,0.21,11.60
92,27,2,213,2.00,2.99,0.00,0.21,5.98
93,27,3,59,1.00,1.99,0.00,0.10,1.99
94,28,1,226,1.00,1.99,0.00,0.10,1.99
95,28,2,44,2.00,3.99,0.00,0.21,7.98
96,28,3,135,1.00,7.49,0.00,0.21,7.49
97,29,1,53,3.00,2.99,0.00,0.10,8.97
98,29,2,121,1.00,2.75,0.00,0.04,2.75
99,29,3,366,2.00,4.75,0.00,0.04,9.50
100,29,4,367,2.00,7.49,0.00,0.10,14.98
101,29,5,128,1.00,3.99,0.00,0.10,3.99
102,30,1,269,3.00,6.99,0.00,0.10,20.97
103,30,2,301,1.00,11.25,0.00,0.10,11.25
104,30,3,42,1.00,14.99,0.00,0.21,14.99
105,31,1,125,2.14,2.00,0.00,0.10,4.28
106,31,2,33,1.00,3.99,0.00,0.21,3.99
107,31,3,110,1.00,1.99,0.00,0.21,1.99
108,31,4,443,2.00,0.99,0.00,0.10,1.98
109,31,5,63,2.00,2.95,0.00,0.10,5.90
110,31,6,599,1.00,8.00,0.00,0.10,8.00
111,31,7,229,2.00,2.75,0.00,0.10,5.50
112,32,1,484,1.00,1.99,0.00,0.04,1.99
113,32,2,228,1.00,2.50,0.00,0.21,2.50
114,32,3,514,1.72,1.99,0.00,0.04,3.42
115,33,1,502,1.00,9.00,0.00,0.10,9.00
116,34,1,435,4.00,2.99,0.00,0.21,11.96
117,34,2,141,1.00,4.50,0.00,0.10,4.50
