id,receipt_number,store_id,customer_id,cashier_id,occurred_at,payment_method,item_count,subtotal,vat_amount,total
1,0008-00002654,8,448,61,2023-01-01T17:35:00,card,2,16.51,2.28,18.79
2,0001-00000671,1,330,72,2023-01-02T09:10:00,card,2,19.91,3.89,23.80
3,0006-00002773,6,373,76,2023-01-02T18:33:00,cash,1,18.10,3.80,21.90
4,0002-00000674,2,,98,2023-01-03T11:44:00,mobile,7,68.96,11.05,80.01
5,0005-00000079,5,,89,2023-01-03T12:32:00,card,1,1.81,0.18,1.99
6,0002-00001182,2,,42,2023-01-03T13:21:00,card,2,8.62,1.23,9.85
7,0008-00001477,8,417,94,2023-01-03T18:27:00,cash,2,111.94,4.97,116.91
8,0006-00002225,6,,62,2023-01-04T10:33:00,cash,1,5.00,0.50,5.50
9,0002-00001113,2,,42,2023-01-04T18:18:00,cash,3,12.62,2.35,14.97
10,0002-00002327,2,199,98,2023-01-04T20:28:00,voucher,22,134.52,9.28,143.80
11,0007-00000835,7,,18,2023-01-04T20:32:00,card,2,8.62,0.35,8.97
12,0006-00001603,6,,76,2023-01-05T11:20:00,card,1,0.91,0.09,1.00
13,0004-00000076,4,,69,2023-01-05T13:10:00,mobile,4,20.47,2.19,22.66
14,0003-00002192,3,,9,2023-01-05T16:02:00,card,1,5.43,0.54,5.97
15,0005-00001300,5,,16,2023-01-05T19:23:00,card,1,2.06,0.43,2.49
16,0001-00002084,1,,72,2023-01-05T20:40:00,cash,9,46.14,8.41,54.55
17,0003-00002262,3,,9,2023-01-06T10:47:00,card,1,2.87,0.12,2.99
18,0006-00001545,6,,76,2023-01-06T15:36:00,card,1,4.35,0.43,4.78
19,0001-00001136,1,,72,2023-01-06T17:33:00,cash,1,10.00,1.00,11.00
20,0003-00002009,3,606,9,2023-01-06T20:26:00,voucher,3,26.38,5.54,31.92
21,0007-00001024,7,,73,2023-01-07T15:08:00,card,1,9.88,2.08,11.96
22,0008-00002753,8,477,21,2023-01-07T18:48:00,card,12,75.55,11.62,87.17
23,0002-00000869,2,,42,2023-01-07T21:15:00,voucher,2,11.40,2.39,13.79
24,0008-00000101,8,,47,2023-01-08T10:10:00,card,1,2.47,0.52,2.99
25,0002-00001411,2,,5,2023-01-09T13:12:00,card,1,10.74,2.25,12.99
26,0001-00002045,1,,72,2023-01-09T15:54:00,cash,6,26.57,4.39,30.96
27,0004-00001109,4,,69,2023-01-09T19:03:00,card,3,16.34,3.23,19.57
28,0008-00001350,8,152,29,2023-01-10T13:43:00,card,3,14.60,2.86,17.46
29,0001-00001281,1,,72,2023-01-10T13:55:00,cash,5,37.17,3.02,40.19
30,0004-00000077,4,,91,2023-01-10T16:42:00,cash,3,41.68,5.53,47.21
31,0004-00002020,4,180,69,2023-01-11T12:51:00,card,7,28.26,3.38,31.64
32,0003-00002861,3,,9,2023-01-11T17:06:00,cash,3,7.27,0.64,7.91
33,0003-00002515,3,,9,2023-01-12T11:45:00,cash,1,8.18,0.82,9.00
34,0007-00002139,7,855,10,2023-01-12T14:50:00,card,9,54.33,7.83,62.16
35,0002-00000586,2,,77,2023-01-12T19:32:00,card,6,31.23,3.70,34.93
36,0007-00002335,7,,18,2023-01-13T12:09:00,card,1,1.23,0.26,1.49
37,0006-00000448,6,10,23,2023-01-13T14:28:00,card,2,16.32,2.64,18.96
38,0008-00000184,8,,28,2023-01-13T18:41:00,cash,6,31.76,4.07,35.83
39,0001-00000862,1,,72,2023-01-13T19:17:00,mobile,2,9.73,0.63,10.36
40,0002-00002376,2,,85,2023-01-13T19:52:00,card,2,67.21,6.72,73.93
41,0001-00002421,1,,72,2023-01-14T09:42:00,card,1,8.58,1.80,10.38
42,0005-00001305,5,,8,2023-01-14T11:29:00,card,1,8.15,0.82,8.97
43,0006-00001706,6,,62,2023-01-14T17:35:00,cash,2,7.01,1.47,8.48
44,0002-00000410,2,,85,2023-01-14T17:49:00,card,1,2.89,0.61,3.50
45,0003-00002055,3,753,9,2023-01-14T19:25:00,card,2,7.39,1.06,8.45
46,0008-00000372,8,,94,2023-01-14T19:28:00,card,1,2.89,0.61,3.50
47,0001-00002853,1,100,72,2023-01-14T19:42:00,mobile,7,33.55,5.92,39.47
48,0005-00001456,5,119,99,2023-01-15T13:58:00,voucher,2,12.13,1.75,13.88
49,0007-00000156,7,,30,2023-01-15T16:11:00,card,1,1.59,0.16,1.75
50,0001-00001619,1,,72,2023-01-15T18:29:00,cash,2,16.48,3.47,19.95
51,0002-00000431,2,,42,2023-01-15T19:31:00,voucher,4,39.81,5.94,45.75
52,0005-00000278,5,,31,2023-01-15T19:56:00,voucher,7,50.68,7.76,58.44
53,0008-00002821,8,,84,2023-01-16T18:08:00,cash,3,14.79,2.16,16.95
54,0003-00001441,3,,9,2023-01-16T18:15:00,card,2,6.61,0.88,7.49
55,0007-00000652,7,,55,2023-01-16T18:20:00,card,3,9.80,1.17,10.97
56,0002-00002116,2,403,98,2023-01-16T18:29:00,cash,12,101.64,14.56,116.20
57,0004-00000255,4,,91,2023-01-16T20:07:00,card,2,6.74,1.22,7.96
58,0004-00001069,4,,69,2023-01-17T17:12:00,card,1,1.81,0.18,1.99
59,0001-00000638,1,,72,2023-01-17T17:48:00,cash,4,21.38,4.07,25.45
60,0003-00000400,3,,9,2023-01-17T20:01:00,card,2,55.58,2.33,57.91
61,0004-00001016,4,,91,2023-01-18T16:49:00,cash,2,23.08,4.19,27.27
62,0001-00000128,1,,72,2023-01-18T18:29:00,card,2,21.91,1.04,22.95
63,0002-00002829,2,,85,2023-01-19T13:52:00,card,1,2.44,0.51,2.95
64,0004-00000832,4,,91,2023-01-19T14:37:00,cash,1,6.57,1.38,7.95
65,0002-00002005,2,686,5,2023-01-19T15:52:00,card,11,80.59,11.11,91.70
66,0005-00000113,5,,89,2023-01-19T16:42:00,card,2,6.81,0.48,7.29
67,0005-00002171,5,,31,2023-01-19T16:42:00,card,2,11.87,2.45,14.32
68,0008-00001251,8,274,94,2023-01-20T16:37:00,card,5,16.69,2.73,19.42
69,0001-00001112,1,,72,2023-01-20T17:39:00,card,5,22.23,4.19,26.42
70,0008-00002670,8,,29,2023-01-20T17:40:00,cash,1,6.60,1.38,7.98
71,0008-00000515,8,,84,2023-01-21T11:00:00,card,1,2.47,0.52,2.99
72,0006-00002331,6,,71,2023-01-21T11:09:00,card,1,0.82,0.17,0.99
73,0007-00000975,7,,73,2023-01-21T11:12:00,mobile,2,7.18,1.21,8.39
74,0003-00002789,3,36,9,2023-01-21T12:33:00,card,1,3.26,0.69,3.95
75,0004-00000551,4,,91,2023-01-21T18:19:00,card,1,26.03,5.47,31.50
76,0002-00001506,2,,85,2023-01-21T20:00:00,card,1,22.06,0.88,22.94
77,0001-00001360,1,,72,2023-01-21T20:53:00,cash,1,1.81,0.18,1.99
78,0008-00000314,8,,21,2023-01-21T21:31:00,card,4,25.11,4.69,29.80
79,0007-00000887,7,,10,2023-01-21T21:39:00,card,4,22.02,3.47,25.49
80,0006-00000362,6,,71,2023-01-22T12:50:00,cash,2,5.36,1.12,6.48
81,0005-00000254,5,,31,2023-01-22T20:26:00,card,2,5.68,0.79,6.47
82,0007-00000240,7,529,18,2023-01-24T14:40:00,card,1,4.09,0.86,4.95
83,0007-00001048,7,,55,2023-01-25T18:18:00,card,3,24.78,5.20,29.98
